gene,kw_stat,kw_pval,mean_Human,mean_RhesusM,mean_Mouse,kw_fdr,direction
NAPA,5.48366,0.064452,5.866836,6.948577,6.47006,0.130375,NHP highest
COL18A1,5.48366,0.064452,3.533005,1.071756,2.021668,0.130375,Human highest
KATNBL1,5.48366,0.064452,7.410372,5.121381,5.904887,0.130375,Human highest
MBNL3,5.481773,0.064513,1.390492,0.103877,0.492008,0.130462,Human highest
NLRC5,5.481773,0.064513,0.947599,0.458113,0.512674,0.130462,Human highest
GPRC6A,5.480874,0.064542,0.560271,0.0,0.28694,0.130484,Human highest
DMRTC2,5.480874,0.064542,0.513758,0.0,0.311758,0.130484,Human highest
TEX22,5.466667,0.065002,3.181565,1.196733,2.63675,0.131104,Human highest
GAS2L3,5.466667,0.065002,1.259842,1.859165,1.324035,0.131104,NHP highest
PDE4A,5.466667,0.065002,5.644118,5.015565,5.433049,0.131104,Human highest
FAM43A,5.466667,0.065002,1.23063,2.29156,1.454788,0.131104,NHP highest
RPP40,5.466667,0.065002,2.432362,1.820958,2.251031,0.131104,Human highest
ASF1B,5.466667,0.065002,1.305916,0.54888,1.563419,0.131104,Mouse highest
CDCA8,5.466667,0.065002,1.93066,1.233238,1.978404,0.131104,Mouse highest
CRTAM,5.466667,0.065002,0.772089,0.21625,0.704493,0.131104,Human highest
RPP30,5.466667,0.065002,4.621424,3.794417,4.420433,0.131104,Human highest
RHEBL1,5.466667,0.065002,3.819028,2.949706,3.69576,0.131104,Human highest
AMOTL1,5.466667,0.065002,3.449499,1.533651,3.112895,0.131104,Human highest
TBC1D25,5.466667,0.065002,4.059963,3.617354,4.166613,0.131104,Mouse highest
SRSF11,5.466667,0.065002,8.200739,7.460334,8.003179,0.131104,Human highest
PPIL3,5.466667,0.065002,4.718529,4.306821,4.6758,0.131104,Human highest
MLLT1,5.466667,0.065002,4.359439,4.795184,4.441494,0.131104,NHP highest
OPN1SW,5.466667,0.065002,0.420943,0.060098,0.493022,0.131104,Mouse highest
IPP,5.466667,0.065002,3.667889,3.07516,3.594429,0.131104,Human highest
PTBP2,5.454902,0.065386,7.421274,6.996005,7.106909,0.131259,Human highest
KCNJ4,5.454902,0.065386,4.76798,6.978593,6.010573,0.131259,NHP highest
CCND3,5.454902,0.065386,5.501046,3.965907,4.338528,0.131259,Human highest
FABP5,5.454902,0.065386,3.06167,5.960732,4.644903,0.131259,NHP highest
NKX3-1,5.454902,0.065386,0.1519,2.02444,1.200687,0.131259,NHP highest
UNC79,5.454902,0.065386,9.723751,8.173937,8.569334,0.131259,Human highest
NAMPT,5.454902,0.065386,4.876422,5.25791,5.055534,0.131259,NHP highest
MIS18BP1,5.454902,0.065386,5.645912,0.694801,2.119575,0.131259,Human highest
SLC9C1,5.457471,0.065302,3.601688,0.076116,1.237367,0.131259,Human highest
CACYBP,5.454902,0.065386,4.751534,5.976463,5.290948,0.131259,NHP highest
ARL5B,5.454902,0.065386,3.8868,5.297927,4.520852,0.131259,NHP highest
FAM98B,5.454902,0.065386,4.827719,6.363181,5.482157,0.131259,NHP highest
PARD6B,5.454902,0.065386,4.369672,2.459427,3.068616,0.131259,Human highest
TULP1,5.456616,0.06533,0.379915,0.058446,0.137426,0.131259,Human highest
ATP2C1,5.454902,0.065386,7.886091,7.519954,7.563453,0.131259,Human highest
GADD45B,5.454902,0.065386,2.540506,4.418184,3.524651,0.131259,NHP highest
SAP30,5.454902,0.065386,4.233836,3.524484,3.565363,0.131259,Human highest
LRRC8D,5.454902,0.065386,6.591213,5.52407,5.939672,0.131259,Human highest
