gene,kw_stat,kw_pval,mean_Human,mean_RhesusM,mean_Mouse,kw_fdr,direction
A1BG,9.741935,0.007666,3.067985,0.029689,0.510696,0.051816,Human highest
MADD,8.666667,0.013124,6.048308,6.906773,6.913741,0.051816,Mouse highest
MADCAM1,9.095006,0.010594,2.327718,0.036608,0.377566,0.051816,Human highest
MAD2L2,9.176471,0.010171,2.756615,2.414321,3.447181,0.051816,Mouse highest
MACROD1,8.938562,0.011456,3.837666,6.521384,6.691084,0.051816,Mouse highest
MAB21L3,8.666667,0.013124,4.183668,0.394725,0.593564,0.051816,Human highest
MAB21L1,11.538562,0.003122,0.146591,0.420764,1.109436,0.051816,Mouse highest
M1AP,10.156209,0.006232,3.634055,0.233193,1.298788,0.051816,Human highest
LYSMD1,8.68366,0.013013,2.492114,3.610922,3.655094,0.051816,Mouse highest
LYRM4,11.113725,0.003861,7.393348,4.9589,5.513733,0.051816,Human highest
LYPLAL1,9.105229,0.01054,5.990359,2.899769,4.136896,0.051816,Human highest
LYPD8,9.925053,0.006995,5.432666,0.015957,0.201256,0.051816,Human highest
LYPD6B,11.997386,0.002482,1.293023,1.766474,3.012729,0.051816,Mouse highest
LYPD6,10.722876,0.004694,0.657838,1.773053,2.3713,0.051816,Mouse highest
LYPD5,8.70936,0.012847,3.651002,0.214345,0.211596,0.051816,Human highest
LYNX1,10.180843,0.006155,5.186705,0.046366,1.196058,0.051816,Human highest
LYN,8.938562,0.011456,1.808235,3.943352,4.220816,0.051816,Mouse highest
LYG2,9.511002,0.008604,5.036334,0.052565,0.274864,0.051816,Human highest
LYG1,11.294624,0.003527,3.339081,0.0,0.246175,0.051816,Human highest
LY75,10.494624,0.005262,0.0,0.166553,1.061356,0.051816,Mouse highest
MAEL,9.499346,0.008655,4.423876,0.184723,0.511891,0.051816,Human highest
LY6D,12.238031,0.002201,0.810936,0.013732,0.001236,0.051816,Human highest
MAFA,8.938562,0.011456,0.020642,0.442313,0.561082,0.051816,Mouse highest
MAFK,9.754248,0.007619,3.964177,2.597979,2.324232,0.051816,Human highest
MAP3K13,8.734641,0.012685,7.87725,4.918245,5.613914,0.051816,Human highest
MAP2K6,8.938562,0.011456,5.698532,7.005072,7.087564,0.051816,Mouse highest
MAP2K2,10.043137,0.006594,5.321565,6.024622,6.459606,0.051816,Mouse highest
MAP2K1,11.538562,0.003122,6.842316,8.223206,7.718428,0.051816,NHP highest
MAP10,10.366013,0.005611,2.943033,1.22201,1.511462,0.051816,Human highest
MAOA,8.68366,0.013013,2.711701,4.348603,4.375726,0.051816,Mouse highest
MANEAL,10.043137,0.006594,3.799425,5.137931,4.982252,0.051816,NHP highest
MANEA,8.938562,0.011456,3.22272,4.348004,4.23501,0.051816,NHP highest
MAN2C1,11.538562,0.003122,5.662812,4.019935,4.662435,0.051816,Human highest
MAN2B2,9.278431,0.009665,4.218742,1.93405,2.305062,0.051816,Human highest
MAN2A1,9.278431,0.009665,7.667841,6.101541,5.924022,0.051816,Human highest
MAN1B1,11.113725,0.003861,4.762126,5.102603,5.539883,0.051816,Mouse highest
MAMSTR,9.989542,0.006773,3.316787,1.296277,2.48945,0.051816,Human highest
MAMLD1,9.244444,0.009831,5.727591,6.771795,6.402728,0.051816,NHP highest
MAMDC4,8.734641,0.012685,1.593392,0.376087,0.564789,0.051816,Human highest
MAK16,10.554902,0.005105,3.032048,5.15171,4.598887,0.051816,NHP highest
MAK,8.819608,0.012158,6.292435,4.117467,3.867708,0.051816,Human highest
MAGIX,8.905882,0.011644,1.820216,0.272746,0.738355,0.051816,Human highest
MAGEL2,10.450327,0.005379,1.303751,0.074403,0.539816,0.051816,Human highest
MAFB,8.938562,0.011456,0.280482,1.274137,1.461338,0.051816,Mouse highest
MAP3K5,9.278431,0.009665,8.572495,6.36151,6.806261,0.051816,Human highest
LVRN,9.091503,0.010612,2.210726,0.323324,0.840514,0.051816,Human highest
LST1,9.278431,0.009665,0.10592,2.814081,2.911685,0.051816,Mouse highest
LRRC24,9.154248,0.010284,3.190682,3.355979,4.352326,0.051816,Mouse highest
LRRC23,9.754248,0.007619,3.681147,1.681876,2.108205,0.051816,Human highest
LRRC2,9.091503,0.010612,5.711911,1.570252,1.64564,0.051816,Human highest
LRRC19,9.091503,0.010612,1.527286,4.059995,4.253242,0.051816,Mouse highest
LRRC14B,9.393052,0.009127,0.009808,0.538019,0.249921,0.051816,NHP highest
LRRC1,11.113725,0.003861,3.688476,2.751916,2.411651,0.051816,Human highest
LRP4,8.68366,0.013013,6.34741,2.121864,2.241063,0.051816,Human highest
LRP12,9.278431,0.009665,6.528206,5.609476,5.447753,0.051816,Human highest
LRP11,8.938562,0.011456,6.198552,7.168775,6.975905,0.051816,NHP highest
LRP10,9.499346,0.008655,0.199839,2.579051,2.631614,0.051816,Mouse highest
LRIT3,8.68366,0.013013,2.104664,0.490114,0.649894,0.051816,Human highest
LRIG3,8.68366,0.013013,1.894313,0.631945,0.648316,0.051816,Human highest
LRG1,10.722876,0.004694,0.048723,2.656964,1.583092,0.051816,NHP highest
LRCH4,9.519608,0.008567,3.665491,2.683309,3.141624,0.051816,Human highest
LRAT,11.294624,0.003527,1.023481,0.0,0.016003,0.051816,Human highest
LPXN,11.538562,0.003122,4.818051,1.332711,1.863977,0.051816,Human highest
LPIN2,12.490196,0.00194,5.066957,6.914388,6.49249,0.051816,NHP highest
LPGAT1,12.490196,0.00194,6.777184,8.025748,7.531844,0.051816,NHP highest
LPAR4,9.395402,0.009116,0.138058,0.013732,0.015423,0.051816,Human highest
LRRC28,8.734641,0.012685,7.673106,5.66346,5.940305,0.051816,Human highest
LTA,9.294624,0.009587,1.885248,0.029689,0.062601,0.051816,Human highest
LRRC3,8.745358,0.012617,0.011133,2.853635,2.112335,0.051816,NHP highest
LRRC40,9.519608,0.008567,5.893092,5.056885,5.450584,0.051816,Human highest
LSMEM1,10.366013,0.005611,3.578082,1.867961,1.267599,0.051816,Human highest
LSM14A,8.938562,0.011456,6.769069,5.700461,5.945361,0.051816,Human highest
LSM12,8.734641,0.012685,4.82023,5.502196,5.459129,0.051816,NHP highest
LSM1,8.819608,0.012158,3.846745,5.809548,5.88755,0.051816,Mouse highest
LRTM1,9.105229,0.01054,5.606156,2.760161,4.021415,0.051816,Human highest
LRRN1,9.091503,0.010612,6.664608,4.793266,4.801953,0.051816,Human highest
LRRK1,10.366013,0.005611,7.026191,0.657879,2.082684,0.051816,Human highest
LRRIQ4,10.167816,0.006196,1.388213,0.0,0.272998,0.051816,Human highest
LRRIQ1,12.490196,0.00194,5.461231,4.597664,4.154601,0.051816,Human highest
LRRFIP2,8.938562,0.011456,7.841787,5.474215,5.496136,0.051816,Human highest
LRRCC1,8.938562,0.011456,2.665382,5.637369,5.371033,0.051816,NHP highest
LRRC9,8.938562,0.011456,5.633371,0.588255,1.366422,0.051816,Human highest
LRRC8E,10.391503,0.00554,0.363601,0.153563,0.665921,0.051816,Mouse highest
LRRC8B,9.278431,0.009665,8.037447,6.814239,6.420973,0.051816,Human highest
LRRC71,10.494624,0.005262,0.781484,0.176572,0.075485,0.051816,Human highest
LRRC7,10.976471,0.004135,10.776697,10.587732,10.284653,0.051816,Human highest
LRRC59,11.538562,0.003122,3.033958,5.782269,5.192911,0.051816,NHP highest
LRRC56,8.734641,0.012685,4.081848,1.929132,1.829451,0.051816,Human highest
LRRC55,11.113725,0.003861,0.797026,3.034936,2.263085,0.051816,NHP highest
LRRC32,9.087685,0.010632,0.005468,2.025396,0.90138,0.051816,NHP highest
MAP3K6,11.689542,0.002895,1.175267,1.263509,2.632319,0.051816,Mouse highest
MAP3K7,9.754248,0.007619,6.811085,5.937439,5.604788,0.051816,Human highest
MAP3K8,9.278431,0.009665,2.472762,1.419279,1.011805,0.051816,Human highest
MGMT,8.905882,0.011644,5.514057,0.974545,2.363882,0.051816,Human highest
MGAT5,10.464052,0.005343,7.28944,8.288027,7.992908,0.051816,NHP highest
MGAT4C,9.754248,0.007619,9.64999,7.853376,8.110638,0.051816,Human highest
MGAT3,10.023529,0.006659,5.500004,6.994055,6.562823,0.051816,NHP highest
MFSD9,11.538562,0.003122,2.945003,1.630228,2.136915,0.051816,Human highest
MFSD11,11.538562,0.003122,6.705318,4.705214,5.60542,0.051816,Human highest
MFSD10,9.499346,0.008655,5.454021,3.149078,4.134558,0.051816,Human highest
MFGE8,12.490196,0.00194,4.287723,1.837768,0.603054,0.051816,Human highest
MFAP2,9.289816,0.00961,0.003715,2.576858,2.476347,0.051816,NHP highest
MEX3D,11.538562,0.003122,1.684959,3.729972,3.053924,0.051816,NHP highest
MEX3C,11.113725,0.003861,3.279773,5.434398,4.559351,0.051816,NHP highest
METTL22,8.982594,0.011206,4.652684,3.691549,2.67351,0.051816,Human highest
METTL18,9.038562,0.010897,1.293679,2.203922,2.690929,0.051816,Mouse highest
METTL15,9.091503,0.010612,7.000189,4.292621,4.806211,0.051816,Human highest
METRNL,8.938562,0.011456,0.799965,3.747603,3.652864,0.051816,NHP highest
METRN,11.251613,0.003604,3.715741,0.80079,0.292157,0.051816,Human highest
MESP1,9.499346,0.008655,2.75994,0.321142,0.544704,0.051816,Human highest
MEOX2,9.779599,0.007523,2.128221,0.043039,0.213709,0.051816,Human highest
MEIS1,9.278431,0.009665,4.810832,2.699456,2.655467,0.051816,Human highest
MGST1,9.378246,0.009195,2.682665,0.112704,0.244433,0.051816,Human highest
MEIOB,8.843011,0.012016,2.767292,0.228429,0.212147,0.051816,Human highest
MGST2,9.616993,0.00816,4.50379,0.346151,1.551005,0.051816,Human highest
MICALL1,9.499346,0.008655,0.997137,3.466153,3.053271,0.051816,NHP highest
MLKL,9.059496,0.010783,1.192132,0.054278,0.142023,0.051816,Human highest
MLIP,9.278431,0.009665,9.278665,8.002974,7.929363,0.051816,Human highest
MLH1,8.68366,0.013013,4.933111,3.272016,3.374148,0.051816,Human highest
MLANA,8.831694,0.012084,1.664034,0.0,0.351464,0.051816,Human highest
MKNK2,10.023529,0.006659,3.06663,4.08285,3.611463,0.051816,NHP highest
MKNK1,9.754248,0.007619,6.625776,3.939116,4.562934,0.051816,Human highest
MKLN1,8.666667,0.013124,8.891906,7.090214,7.322578,0.051816,Human highest
MKKS,11.113725,0.003861,5.515513,3.91077,4.314108,0.051816,Human highest
MKI67,9.499346,0.008655,0.08713,0.921831,1.735211,0.051816,Mouse highest
MITF,8.819608,0.012158,2.55458,4.504703,4.564826,0.051816,Mouse highest
MITD1,10.366013,0.005611,4.774557,3.591931,3.876936,0.051816,Human highest
MISP,11.538562,0.003122,0.790798,1.312536,2.379443,0.051816,Mouse highest
MIPOL1,8.68366,0.013013,7.451929,4.489607,5.017139,0.051816,Human highest
MINPP1,10.722876,0.004694,4.761792,6.567228,6.052151,0.051816,NHP highest
MINK1,10.722876,0.004694,5.981414,7.777907,7.248539,0.051816,NHP highest
MIER2,10.067974,0.006513,3.721197,3.913926,4.486493,0.051816,Mouse highest
MIEF1,9.499346,0.008655,3.493636,4.665208,4.746446,0.051816,Mouse highest
MICU1,9.754248,0.007619,8.121174,5.915786,6.471274,0.051816,Human highest
MICALL2,9.164052,0.010234,4.797277,0.148798,1.43272,0.051816,Human highest
MICAL1,8.94953,0.011393,4.753962,0.258165,1.307063,0.051816,Human highest
MEIG1,9.091503,0.010612,1.801508,2.777188,3.092463,0.051816,Mouse highest
MEI4,8.819608,0.012158,2.674356,5.419978,5.141901,0.051816,NHP highest
MEI1,8.819608,0.012158,2.684558,4.518881,4.58315,0.051816,Mouse highest
MBOAT2,9.091503,0.010612,7.615855,6.512258,6.475727,0.051816,Human highest
MBD6,9.499346,0.008655,3.174214,4.047659,3.840677,0.051816,NHP highest
MBD2,9.754248,0.007619,6.043186,5.775796,5.266841,0.051816,Human highest
MB,8.68366,0.013013,0.025898,0.631566,0.588478,0.051816,NHP highest
MATN2,8.666667,0.013124,4.473496,6.910977,6.862468,0.051816,NHP highest
MAST4,8.819608,0.012158,9.218291,7.867801,7.596667,0.051816,Human highest
MASP1,9.091503,0.010612,0.512782,1.740214,2.065232,0.051816,Mouse highest
MAS1,9.499346,0.008655,0.207276,4.473691,3.623834,0.051816,NHP highest
MARVELD2,8.666667,0.013124,1.186648,1.921665,1.992668,0.051816,Mouse highest
MARK2,8.734641,0.012685,6.571004,7.441653,7.474896,0.051816,Mouse highest
MARCKSL1,8.734641,0.012685,2.276784,7.055816,6.173528,0.051816,NHP highest
MAPRE3,9.091503,0.010612,6.272087,7.163815,6.975615,0.051816,NHP highest
MAPRE1,10.722876,0.004694,3.733404,6.62846,5.92523,0.051816,NHP highest
MAPKBP1,8.672549,0.013085,6.820963,5.815485,6.039333,0.051816,Human highest
MAPKAPK3,10.722876,0.004694,0.346613,0.977856,1.903328,0.051816,Mouse highest
MAPKAPK2,11.997386,0.002482,2.182029,5.095178,4.386245,0.051816,NHP highest
MAPK8,8.68366,0.013013,8.244839,6.734111,7.035753,0.051816,Human highest
MAPK12,8.68366,0.013013,4.467225,2.355766,2.362452,0.051816,Human highest
MAPK10,9.278431,0.009665,10.398901,9.511101,9.504895,0.051816,Human highest
MBOAT4,9.754248,0.007619,3.018464,0.452788,0.694544,0.051816,Human highest
MBTD1,10.722876,0.004694,6.62951,7.044659,7.316755,0.051816,Mouse highest
MBTPS1,11.595402,0.003035,6.414266,5.487778,3.612067,0.051816,Human highest
MBTPS2,8.68366,0.013013,4.710291,5.545403,5.494288,0.051816,NHP highest
MEFV,13.997484,0.000913,0.251848,0.022876,0.0,0.051816,Human highest
MEF2B,8.791398,0.01233,0.0,1.699024,1.839303,0.051816,Mouse highest
MED20,11.538562,0.003122,2.601442,3.997325,4.412189,0.051816,Mouse highest
MED18,8.68366,0.013013,1.330834,2.435316,2.435041,0.051816,NHP highest
MED14,8.724837,0.012748,5.534653,6.234687,5.932658,0.051816,NHP highest
MED12L,9.091503,0.010612,9.050015,7.399187,7.413368,0.051816,Human highest
MED1,10.722876,0.004694,4.658935,6.233679,5.899585,0.051816,NHP highest
MECP2,11.997386,0.002482,6.005247,7.391207,6.845635,0.051816,NHP highest
ME2,9.278431,0.009665,5.945763,4.91935,5.100132,0.051816,Human highest
LPAR1,10.366667,0.005609,1.104476,1.980908,3.006654,0.051816,Mouse highest
ME1,8.819608,0.012158,7.461465,5.318266,5.829306,0.051816,Human highest
MCTP1,8.819608,0.012158,9.334635,8.016225,8.040409,0.051816,Human highest
MCMBP,8.666667,0.013124,4.227977,5.14819,5.293667,0.051816,Mouse highest
MCM8,9.791503,0.007478,2.667129,2.897763,3.42653,0.051816,Mouse highest
MCM5,9.278431,0.009665,0.617354,1.762872,1.505296,0.051816,NHP highest
MCM3,8.694315,0.012944,2.189914,0.183981,0.173071,0.051816,Human highest
MCM10,9.98366,0.006793,0.856114,1.201415,1.705299,0.051816,Mouse highest
MCCC2,8.819608,0.012158,5.598388,4.293847,4.483951,0.051816,Human highest
MC4R,9.278431,0.009665,0.050606,2.499287,1.87456,0.051816,NHP highest
MC2R,8.995402,0.011135,0.105351,0.074403,0.019288,0.051816,Human highest
MDC1,9.499346,0.008655,4.000396,3.037196,2.946602,0.051816,Human highest
LONRF2,8.734641,0.012685,8.120073,7.125159,6.999154,0.051816,Human highest
LONP2,9.136289,0.010377,7.270854,5.778296,4.045788,0.051816,Human highest
LNPEP,10.088235,0.006447,5.790869,7.282694,6.572875,0.051816,NHP highest
KIF12,12.075168,0.002387,2.426939,0.0,0.005105,0.051816,Human highest
KIDINS220,9.278431,0.009665,7.020832,8.193575,8.270712,0.051816,Mouse highest
KIAA1143,8.819608,0.012158,3.356723,4.861177,4.781589,0.051816,NHP highest
KIAA0930,8.68366,0.013013,7.660978,6.197594,6.330174,0.051816,Human highest
KIAA0408,10.167742,0.006196,0.0,7.644578,7.066471,0.051816,NHP highest
KIAA0319L,8.68366,0.013013,7.352372,6.025877,6.272352,0.051816,Human highest
KIAA0319,11.538562,0.003122,7.615495,6.117609,6.596918,0.051816,Human highest
KHNYN,8.819608,0.012158,1.862247,2.79931,2.93637,0.051816,Mouse highest
KEAP1,9.091503,0.010612,3.1601,4.994794,5.02887,0.051816,Mouse highest
KDM5B,9.043137,0.010872,7.14523,6.506497,6.777664,0.051816,Human highest
KDM5A,9.091503,0.010612,6.739144,6.126615,6.044821,0.051816,Human highest
KDM4D,8.666667,0.013124,2.053888,2.653128,2.726125,0.051816,Mouse highest
KCTD19,9.163149,0.010239,1.106268,0.043039,0.090497,0.051816,Human highest
KCTD14,10.167742,0.006196,0.0,0.205806,0.499935,0.051816,Mouse highest
KCNV2,8.672549,0.013085,3.35057,0.771579,1.309264,0.051816,Human highest
KCNU1,8.68366,0.013013,0.620035,3.373225,3.15829,0.051816,NHP highest
KCNS3,10.366013,0.005611,0.498227,1.476407,1.949661,0.051816,Mouse highest
KCNRG,9.754248,0.007619,1.238002,3.62386,4.535402,0.051816,Mouse highest
KCNQ4,8.819608,0.012158,3.640771,2.701412,2.709387,0.051816,Human highest
KIF19,10.966667,0.004155,0.125161,0.036608,0.565763,0.051816,Mouse highest
KCNMB4,9.754248,0.007619,7.175496,6.444672,6.270967,0.051816,Human highest
KIF1B,11.454248,0.003256,8.901682,9.542023,9.297235,0.051816,NHP highest
KIF21A,8.666667,0.013124,7.690178,8.396544,8.390062,0.051816,NHP highest
KLHL11,9.791503,0.007478,4.123036,3.764163,2.780288,0.051816,Human highest
KLHL10,11.113725,0.003861,1.576843,2.776239,3.885694,0.051816,Mouse highest
KLHDC7A,12.201258,0.002241,0.016613,0.078905,0.0,0.051816,NHP highest
KLHDC4,8.70936,0.012847,4.663897,3.54604,2.649467,0.051816,Human highest
KLF5,9.091503,0.010612,2.384234,4.672431,4.688427,0.051816,Mouse highest
KLF17,11.294624,0.003527,3.222952,0.0,0.46283,0.051816,Human highest
KLF15,10.464052,0.005343,0.782982,3.583936,2.614937,0.051816,NHP highest
KLC3,8.976471,0.01124,0.628654,0.06801,0.347427,0.051816,Human highest
KL,9.164052,0.010234,1.543343,3.143314,2.703158,0.051816,NHP highest
KIT,9.091503,0.010612,0.584061,1.727524,2.328634,0.051816,Mouse highest
KISS1R,8.68366,0.013013,0.486561,2.642594,2.588678,0.051816,NHP highest
KIRREL2,11.538562,0.003122,1.705804,0.750905,0.304817,0.051816,Human highest
KIFC3,11.595402,0.003035,5.801106,4.087369,2.730544,0.051816,Human highest
KIFAP3,10.043137,0.006594,7.676434,8.477438,8.331716,0.051816,NHP highest
KIF9,8.771895,0.012451,5.296185,3.773294,4.771915,0.051816,Human highest
KIF5B,8.938562,0.011456,5.771666,7.352193,7.044785,0.051816,NHP highest
KIF3A,10.722876,0.004694,7.772462,7.046765,6.853814,0.051816,Human highest
KIF2B,9.075269,0.010699,0.131688,0.0,0.015957,0.051816,Human highest
KIF24,9.278431,0.009665,4.167424,2.304324,2.236306,0.051816,Human highest
KIF20A,8.694315,0.012944,0.010295,0.679551,0.824228,0.051816,Mouse highest
KCNMB2,10.464052,0.005343,8.623451,2.508327,5.029608,0.051816,Human highest
KCNK9,9.556209,0.008412,4.35009,7.05629,6.021773,0.051816,NHP highest
KCNK1,9.091503,0.010612,7.95966,6.019428,6.268305,0.051816,Human highest
ITIH4,9.498933,0.008656,4.552302,0.05272,0.686698,0.051816,Human highest
ITGB2,8.830429,0.012092,1.188098,0.246212,0.308151,0.051816,Human highest
ITGB1BP1,11.113725,0.003861,6.658646,3.778198,4.731157,0.051816,Human highest
ITGB1,8.734641,0.012685,4.818104,5.257962,5.25784,0.051816,NHP highest
ITGAX,12.075168,0.002387,0.363676,0.0,0.019779,0.051816,Human highest
ITGAM,10.626466,0.004926,1.510457,0.404821,0.176388,0.051816,Human highest
ITGAL,8.863054,0.011896,3.372377,0.220532,0.270927,0.051816,Human highest
ITGAD,10.992295,0.004103,0.957601,0.198069,0.056351,0.051816,Human highest
ITGA9,10.366013,0.005611,7.429528,1.656818,3.192435,0.051816,Human highest
ITGA8,9.091503,0.010612,2.129841,7.432354,6.625731,0.051816,NHP highest
ITGA7,10.156209,0.006232,3.229174,0.43502,1.211319,0.051816,Human highest
ITGA4,9.556209,0.008412,4.265953,7.05616,6.030008,0.051816,NHP highest
ITGA3,11.113725,0.003861,5.574242,2.370947,3.04884,0.051816,Human highest
ITGA11,9.319608,0.009468,1.706882,3.458474,3.655907,0.051816,Mouse highest
ITFG1,8.70936,0.012847,8.519229,7.578903,5.427954,0.051816,Human highest
ISY1,9.204301,0.01003,0.0,4.981454,5.06248,0.051816,Mouse highest
ISM1,9.091503,0.010612,1.306472,4.340949,4.273836,0.051816,NHP highest
ISLR2,8.734641,0.012685,3.192761,4.858654,5.014273,0.051816,Mouse highest
ISG20L2,10.043137,0.006594,4.864639,3.341661,3.034886,0.051816,Human highest
ITPKB,8.734641,0.012685,1.591898,4.768754,4.715624,0.051816,NHP highest
ITPR2,9.967974,0.006847,7.674545,2.099349,4.141108,0.051816,Human highest
ITPRIPL2,9.324138,0.009447,1.906706,0.298729,0.252086,0.051816,Human highest
IWS1,8.666667,0.013124,5.004629,5.439841,5.510186,0.051816,Mouse highest
KCNJ9,10.023529,0.006659,4.97155,7.301597,6.441127,0.051816,NHP highest
KCNJ8,10.240613,0.005974,0.457141,0.013732,0.007558,0.051816,Human highest
KCNJ14,8.666667,0.013124,2.529567,0.762225,0.892761,0.051816,Human highest
KCNIP2,8.938562,0.011456,5.33496,7.265424,7.227614,0.051816,NHP highest
KCNE1,10.783158,0.004555,2.424294,0.0,0.167154,0.051816,Human highest
KCND1,9.754248,0.007619,1.080596,2.484598,2.072756,0.051816,NHP highest
KCNA1,8.672549,0.013085,4.653584,6.086031,5.732468,0.051816,NHP highest
KBTBD6,9.278431,0.009665,3.687572,0.808909,0.978965,0.051816,Human highest
KAZN,8.734641,0.012685,10.158872,4.86428,5.951619,0.051816,Human highest
KLHL12,10.043137,0.006594,4.56245,5.162638,5.401479,0.051816,Mouse highest
KATNB1,9.083087,0.010657,4.709594,4.00253,2.783283,0.051816,Human highest
KAT7,8.938562,0.011456,4.608628,6.03175,6.084105,0.051816,Mouse highest
KANSL2,8.68366,0.013013,4.031757,5.716807,5.417155,0.051816,NHP highest
KANK1,11.954902,0.002535,3.653276,0.739105,1.756968,0.051816,Human highest
JUP,9.278431,0.009665,1.054878,3.050897,3.163158,0.051816,Mouse highest
JMJD7,10.494624,0.005262,0.0,1.095295,1.778199,0.051816,Mouse highest
JMJD6,9.091503,0.010612,3.466737,4.091468,4.36784,0.051816,Mouse highest
JAM3,10.366013,0.005611,6.802426,5.206285,5.409448,0.051816,Human highest
JAK1,8.819608,0.012158,6.510401,7.256364,7.304639,0.051816,Mouse highest
JADE3,9.460784,0.008823,3.381608,4.887261,4.450544,0.051816,NHP highest
KAT8,8.863054,0.011896,5.063546,3.473926,2.592164,0.051816,Human highest
MLXIPL,11.335787,0.003455,5.756579,0.043039,1.573541,0.051816,Human highest
KLHL15,8.938562,0.011456,3.344491,4.844677,4.576476,0.051816,NHP highest
KLHL23,11.68172,0.002906,0.0,6.874577,6.106284,0.051816,NHP highest
LHX3,9.878994,0.007158,0.002297,0.222118,0.018931,0.051816,NHP highest
LHX1,10.064481,0.006524,0.23538,0.0,0.039652,0.051816,Human highest
LHFPL3,10.043137,0.006594,4.042352,6.724064,6.339963,0.051816,NHP highest
LGR4,8.938562,0.011456,5.771167,4.917211,4.661412,0.051816,Human highest
LGI2,11.538562,0.003122,0.862958,4.405069,2.817988,0.051816,NHP highest
LGI1,8.666667,0.013124,5.716529,7.590844,7.571513,0.051816,NHP highest
LETM2,9.278431,0.009665,3.182866,4.566754,4.731187,0.051816,Mouse highest
LEPROT,10.722876,0.004694,0.12647,4.510676,4.391507,0.051816,NHP highest
LEPR,8.938562,0.011456,4.903562,2.736545,2.321371,0.051816,Human highest
LENG9,9.499346,0.008655,1.977862,3.224785,3.486823,0.051816,Mouse highest
LENG1,10.722876,0.004694,1.511542,2.787265,3.50803,0.051816,Mouse highest
LEMD2,8.819608,0.012158,4.59332,3.974005,3.995332,0.051816,Human highest
LEMD1,8.68366,0.013013,1.743712,2.518462,2.661457,0.051816,Mouse highest
LEKR1,11.538562,0.003122,3.474484,5.322925,5.011291,0.051816,NHP highest
LECT2,11.294624,0.003527,0.416889,0.0,0.054741,0.051816,Human highest
LEAP2,9.319933,0.009467,1.406154,0.036608,0.093663,0.051816,Human highest
LDLRAD3,8.734641,0.012685,5.922234,4.669089,4.666966,0.051816,Human highest
LDB2,10.366013,0.005611,10.877528,8.182208,9.033766,0.051816,Human highest
LCORL,10.043137,0.006594,6.301945,7.865583,7.378432,0.051816,NHP highest
LIAS,10.043137,0.006594,4.379591,5.250803,5.581304,0.051816,Mouse highest
LCN8,8.843678,0.012012,0.202887,0.0,0.046144,0.051816,Human highest
LIG3,8.771895,0.012451,3.504504,4.494674,4.027994,0.051816,NHP highest
LIMCH1,8.666667,0.013124,9.760537,7.878149,8.245831,0.051816,Human highest
LMO4,8.666667,0.013124,8.260217,10.097172,9.941523,0.051816,NHP highest
LMO2,9.278431,0.009665,1.00747,2.981293,2.399233,0.051816,NHP highest
LMO1,8.68366,0.013013,1.585696,4.637158,4.337233,0.051816,NHP highest
LMNA,11.234641,0.003634,3.644372,4.432023,4.868558,0.051816,Mouse highest
LMF2,9.754248,0.007619,4.740518,1.879874,2.514518,0.051816,Human highest
LMF1,8.726437,0.012737,8.429209,3.901675,2.85679,0.051816,Human highest
LMBR1L,11.538562,0.003122,4.799774,2.749277,3.463525,0.051816,Human highest
LMAN2L,8.938562,0.011456,4.759032,5.746379,6.042718,0.051816,Mouse highest
LMAN2,9.499346,0.008655,3.686094,5.407397,5.15044,0.051816,NHP highest
LLGL1,9.278431,0.009665,1.592823,3.903956,4.019256,0.051816,Mouse highest
LIX1L,8.68366,0.013013,3.651977,4.30906,4.340108,0.051816,Mouse highest
LIPK,9.111111,0.010509,0.094644,0.209247,0.495222,0.051816,Mouse highest
LIPI,10.878161,0.004343,2.64453,0.0,0.429058,0.051816,Human highest
LIPG,11.113725,0.003861,0.488768,2.728546,1.76884,0.051816,NHP highest
LIPE,11.013725,0.004059,3.588888,3.629668,5.178307,0.051816,Mouse highest
LIPA,8.819608,0.012158,5.562981,4.26982,4.187858,0.051816,Human highest
LIMK2,9.754248,0.007619,3.597397,5.720065,6.015749,0.051816,Mouse highest
LIME1,9.204301,0.01003,4.332634,0.246872,0.297553,0.051816,Human highest
LIMD1,11.234641,0.003634,2.999096,3.427012,4.61702,0.051816,Mouse highest
LIG4,9.278431,0.009665,4.388568,3.554838,3.258318,0.051816,Human highest
LCN12,10.52043,0.005194,2.322818,0.0,0.485886,0.051816,Human highest
LCK,11.538562,0.003122,0.624765,1.377206,2.259582,0.051816,Mouse highest
LCAT,8.821311,0.012147,0.25973,0.341268,0.031958,0.051816,NHP highest
KRI1,9.278431,0.009665,2.777606,4.27681,4.353352,0.051816,Mouse highest
KRBA1,11.113725,0.003861,3.37793,4.594685,4.204448,0.051816,NHP highest
KRAS,10.088235,0.006447,5.48381,7.657457,6.63389,0.051816,NHP highest
KPNB1,10.260784,0.005914,6.551858,6.314034,6.110377,0.051816,Human highest
KPNA6,12.490196,0.00194,6.685488,6.027329,5.216921,0.051816,Human highest
KPNA4,11.538562,0.003122,5.912558,6.994216,6.485353,0.051816,NHP highest
KNTC1,11.113725,0.003861,3.732885,1.407891,2.277881,0.051816,Human highest
KNSTRN,8.666667,0.013124,3.325249,1.68953,1.620938,0.051816,Human highest
KMO,9.091503,0.010612,3.80542,0.508763,1.010256,0.051816,Human highest
KLRG1,9.278431,0.009665,2.522494,0.200311,0.313335,0.051816,Human highest
KLRD1,10.726776,0.004685,2.572143,0.0,0.057141,0.051816,Human highest
