gene,kw_stat,kw_pval,mean_Human,mean_RhesusM,mean_Mouse,kw_fdr,direction,p_Human_NHP,p_Human_Mouse,p_NHP_Mouse
HOXB6,15.822715,0.000367,0.0,0.052565,0.0,0.051816,NHP highest,0.002764,1.0,0.000363
SFTPD,15.646018,0.0004,3.212626,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
PDILT,15.646018,0.0004,0.533461,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
WFDC13,15.646018,0.0004,0.328342,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
PRSS21,15.646018,0.0004,0.33572,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
CCR3,15.646018,0.0004,0.897852,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
CD69,15.646018,0.0004,0.052439,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
CHP2,15.646018,0.0004,0.041161,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
ACSM5,15.646018,0.0004,0.45204,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
ADGRG5,15.646018,0.0004,0.421196,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
RFPL4B,15.646018,0.0004,0.061498,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
PRR9,15.646018,0.0004,0.379403,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
HBZ,15.646018,0.0004,1.158584,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
HBE1,15.646018,0.0004,0.391608,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
EXOSC6,15.646018,0.0004,2.75498,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
ACTRT1,15.646018,0.0004,0.066276,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
FOXE3,15.646018,0.0004,0.206744,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
PTH,15.646018,0.0004,0.256706,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
OTUD6A,15.646018,0.0004,0.203192,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
UMOD,15.646018,0.0004,0.372003,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
TAS2R7,15.646018,0.0004,0.0838,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
CSN2,15.646018,0.0004,0.172202,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
WFDC1,14.643678,0.000661,2.983652,0.131338,0.005069,0.051816,Human highest,0.977402,0.000869,0.102715
CLEC4G,14.192394,0.000828,1.597597,0.036608,0.0,0.051816,Human highest,0.351003,0.000596,0.381533
AQP8,13.997484,0.000913,1.33863,0.022876,0.0,0.051816,Human highest,0.083757,0.000556,1.0
MEFV,13.997484,0.000913,0.251848,0.022876,0.0,0.051816,Human highest,0.083757,0.000556,1.0
CCL22,13.997484,0.000913,0.150464,0.031402,0.0,0.051816,Human highest,0.083757,0.000556,1.0
MMP25,13.997484,0.000913,2.09336,0.022876,0.0,0.051816,Human highest,0.083757,0.000556,1.0
GK2,13.812081,0.001002,0.026405,0.146762,0.0,0.051816,NHP highest,0.448689,0.119274,0.001295
CDH5,13.527969,0.001155,0.50584,0.153176,0.019288,0.051816,Human highest,0.72628,0.001147,0.199538
PABPN1L,13.402264,0.00123,0.750698,0.0,0.005069,0.051816,Human highest,0.011357,0.001573,1.0
CCIN,13.402264,0.00123,0.179831,0.0,0.002461,0.051816,Human highest,0.011357,0.001573,1.0
P2RX2,13.402264,0.00123,1.442795,0.0,0.001236,0.051816,Human highest,0.011357,0.001573,1.0
CLEC4D,13.402264,0.00123,0.076936,0.0,0.001234,0.051816,Human highest,0.011357,0.001573,1.0
UNCX,13.256637,0.001322,0.002297,0.087753,0.0,0.051816,NHP highest,0.034638,1.0,0.000825
CCL2,13.208054,0.001355,0.076966,0.038834,0.0,0.051816,Human highest,0.674772,0.00127,0.235227
KRTDAP,13.207547,0.001355,0.073,0.013732,0.0,0.051816,Human highest,0.133055,0.000836,1.0
SLC5A2,13.029885,0.001481,0.543218,0.119322,0.023732,0.051816,Human highest,0.619388,0.001316,0.270909
ZNF648,12.80402,0.001658,0.374248,0.186086,0.028222,0.051816,Human highest,1.0,0.002104,0.143179
PRKRIP1,12.645161,0.001795,0.0,4.515185,5.232857,0.051816,Mouse highest,1.0,0.002271,0.147385
MROH7,12.645161,0.001795,0.0,1.685978,2.997646,0.051816,Mouse highest,1.0,0.002271,0.147385
CCPG1,12.645161,0.001795,0.0,5.805678,6.571512,0.051816,Mouse highest,1.0,0.002271,0.147385
PHOSPHO2,12.645161,0.001795,0.0,4.810001,4.373147,0.051816,NHP highest,0.001285,0.055179,0.147385
TSNAX,12.645161,0.001795,0.0,8.044096,6.636978,0.051816,NHP highest,0.001285,0.055179,0.147385
ZFP91,12.645161,0.001795,0.0,7.425107,6.256654,0.051816,NHP highest,0.001285,0.055179,0.147385
BLOC1S1,12.645161,0.001795,0.0,2.512523,3.122006,0.051816,Mouse highest,1.0,0.002271,0.147385
WBP1,12.645161,0.001795,0.0,3.406997,4.349388,0.051816,Mouse highest,1.0,0.002271,0.147385
GTF2A1L,12.645161,0.001795,0.0,0.408118,1.066482,0.051816,Mouse highest,1.0,0.002271,0.147385
COX16,12.645161,0.001795,0.0,7.383049,6.603066,0.051816,NHP highest,0.001285,0.055179,0.147385
ARHGAP17,12.551724,0.001881,5.804476,5.402056,3.49664,0.051816,Human highest,1.0,0.002376,0.149919
RBFOX1,12.551724,0.001881,13.279332,12.181454,8.336902,0.051816,Human highest,1.0,0.002376,0.149919
GGA2,12.551724,0.001881,6.356242,5.249713,3.47357,0.051816,Human highest,1.0,0.002376,0.149919
SEC14L5,12.551724,0.001881,7.36796,1.673133,0.526088,0.051816,Human highest,1.0,0.002376,0.149919
PHKB,12.551724,0.001881,7.269437,5.822527,3.968799,0.051816,Human highest,1.0,0.002376,0.149919
IL5,12.505521,0.001925,1.3912,0.571159,0.210236,0.051816,Human highest,1.0,0.00243,0.151189
NCOA1,12.490196,0.00194,8.8118,8.429923,8.001312,0.051816,Human highest,1.0,0.002448,0.151613
SAMD11,12.490196,0.00194,0.223251,1.380721,1.94184,0.051816,Mouse highest,1.0,0.002448,0.151613
TSKS,12.490196,0.00194,1.014397,2.193391,3.253448,0.051816,Mouse highest,1.0,0.002448,0.151613
TM7SF2,12.490196,0.00194,4.674452,2.479745,3.012582,0.051816,Human highest,0.001394,0.05737,0.151613
BCL2L15,12.490196,0.00194,2.239524,1.261778,0.70665,0.051816,Human highest,1.0,0.002448,0.151613
ANO5,12.490196,0.00194,7.90563,0.290324,2.931633,0.051816,Human highest,0.001394,0.05737,0.151613
RGS5,12.490196,0.00194,4.950719,2.078767,0.68402,0.051816,Human highest,1.0,0.002448,0.151613
KPNA6,12.490196,0.00194,6.685488,6.027329,5.216921,0.051816,Human highest,1.0,0.002448,0.151613
MFGE8,12.490196,0.00194,4.287723,1.837768,0.603054,0.051816,Human highest,1.0,0.002448,0.151613
ESR2,12.490196,0.00194,4.59855,0.547762,1.429211,0.051816,Human highest,0.001394,0.05737,0.151613
PRELID2,12.490196,0.00194,6.956602,1.934424,2.492312,0.051816,Human highest,0.001394,0.05737,0.151613
CCNB1IP1,12.490196,0.00194,4.935083,1.194064,2.68967,0.051816,Human highest,0.001394,0.05737,0.151613
DNPEP,12.490196,0.00194,2.54977,3.442841,3.947706,0.051816,Mouse highest,1.0,0.002448,0.151613
ERCC1,12.490196,0.00194,5.752707,3.558159,4.858236,0.051816,Human highest,0.001394,0.05737,0.151613
SIDT2,12.490196,0.00194,3.779515,5.265467,4.872833,0.051816,NHP highest,0.001394,0.05737,0.151613
OGFR,12.490196,0.00194,5.869925,3.751479,4.206992,0.051816,Human highest,0.001394,0.05737,0.151613
RNF169,12.490196,0.00194,6.187492,7.877259,7.138458,0.051816,NHP highest,0.001394,0.05737,0.151613
NVL,12.490196,0.00194,5.850876,6.278129,6.664327,0.051816,Mouse highest,1.0,0.002448,0.151613
AAGAB,12.490196,0.00194,6.105099,5.859178,5.359955,0.051816,Human highest,1.0,0.002448,0.151613
SPAG5,12.490196,0.00194,3.089187,3.701755,4.227105,0.051816,Mouse highest,1.0,0.002448,0.151613
CLINT1,12.490196,0.00194,5.705066,6.642783,6.192392,0.051816,NHP highest,0.001394,0.05737,0.151613
SLC43A3,12.490196,0.00194,0.12556,0.410292,0.701602,0.051816,Mouse highest,1.0,0.002448,0.151613
SLC18A1,12.490196,0.00194,0.127622,1.405266,2.325568,0.051816,Mouse highest,1.0,0.002448,0.151613
GRPEL2,12.490196,0.00194,2.366275,4.517678,3.970412,0.051816,NHP highest,0.001394,0.05737,0.151613
USP13,12.490196,0.00194,5.213402,5.88363,6.116277,0.051816,Mouse highest,1.0,0.002448,0.151613
SLIT3,12.490196,0.00194,8.446758,9.996574,9.512267,0.051816,NHP highest,0.001394,0.05737,0.151613
RAB12,12.490196,0.00194,5.989562,7.362236,6.831982,0.051816,NHP highest,0.001394,0.05737,0.151613
CRTAP,12.490196,0.00194,4.053506,0.931564,2.024723,0.051816,Human highest,0.001394,0.05737,0.151613
FSD1,12.490196,0.00194,5.76777,4.146195,4.971616,0.051816,Human highest,0.001394,0.05737,0.151613
DDAH1,12.490196,0.00194,7.753163,3.815815,4.8191,0.051816,Human highest,0.001394,0.05737,0.151613
ABCE1,12.490196,0.00194,4.841162,6.143963,5.68923,0.051816,NHP highest,0.001394,0.05737,0.151613
RAB2A,12.490196,0.00194,7.32402,8.352972,7.969089,0.051816,NHP highest,0.001394,0.05737,0.151613
ETAA1,12.490196,0.00194,3.313746,4.669803,4.154193,0.051816,NHP highest,0.001394,0.05737,0.151613
TSPAN4,12.490196,0.00194,1.292674,2.206145,2.986907,0.051816,Mouse highest,1.0,0.002448,0.151613
ACBD5,12.490196,0.00194,4.619986,6.323454,5.906305,0.051816,NHP highest,0.001394,0.05737,0.151613
TNIK,12.490196,0.00194,7.914785,8.972503,8.63616,0.051816,NHP highest,0.001394,0.05737,0.151613
IFNAR2,12.490196,0.00194,5.90502,3.968849,4.444689,0.051816,Human highest,0.001394,0.05737,0.151613
DTX3L,12.490196,0.00194,0.129749,1.921725,2.893279,0.051816,Mouse highest,1.0,0.002448,0.151613
RSPH1,12.490196,0.00194,4.848613,2.644797,3.332728,0.051816,Human highest,0.001394,0.05737,0.151613
TPR,12.490196,0.00194,5.673582,7.261964,6.703304,0.051816,NHP highest,0.001394,0.05737,0.151613
LPIN2,12.490196,0.00194,5.066957,6.914388,6.49249,0.051816,NHP highest,0.001394,0.05737,0.151613
SH3BP4,12.490196,0.00194,2.090605,4.456215,3.866708,0.051816,NHP highest,0.001394,0.05737,0.151613
TC2N,12.490196,0.00194,3.199404,0.123826,1.056748,0.051816,Human highest,0.001394,0.05737,0.151613
WASL,12.490196,0.00194,5.968597,7.508832,6.96528,0.051816,NHP highest,0.001394,0.05737,0.151613
ZHX1,12.490196,0.00194,0.034675,6.191958,5.617541,0.051816,NHP highest,0.001394,0.05737,0.151613
ZFR2,12.490196,0.00194,6.692031,5.186482,5.846294,0.051816,Human highest,0.001394,0.05737,0.151613
NPEPPS,12.490196,0.00194,7.208208,7.41565,7.867764,0.051816,Mouse highest,1.0,0.002448,0.151613
PPP2R2A,12.490196,0.00194,7.058945,6.794794,6.482243,0.051816,Human highest,1.0,0.002448,0.151613
RFXANK,12.490196,0.00194,1.589924,2.140176,2.741445,0.051816,Mouse highest,1.0,0.002448,0.151613
PLCL1,12.490196,0.00194,8.553223,7.952883,7.360773,0.051816,Human highest,1.0,0.002448,0.151613
MYL6B,12.490196,0.00194,5.178178,1.73446,3.816244,0.051816,Human highest,0.001394,0.05737,0.151613
LPGAT1,12.490196,0.00194,6.777184,8.025748,7.531844,0.051816,NHP highest,0.001394,0.05737,0.151613
PKP2,12.490196,0.00194,1.635003,5.423349,4.065852,0.051816,NHP highest,0.001394,0.05737,0.151613
ZMYND11,12.490196,0.00194,7.18616,8.173737,7.9424,0.051816,NHP highest,0.001394,0.05737,0.151613
CELF6,12.490196,0.00194,5.782742,4.566091,5.084363,0.051816,Human highest,0.001394,0.05737,0.151613
CHAMP1,12.490196,0.00194,3.391324,4.852612,4.386266,0.051816,NHP highest,0.001394,0.05737,0.151613
ZNF189,12.490196,0.00194,5.770562,4.691316,3.808247,0.051816,Human highest,1.0,0.002448,0.151613
LRRIQ1,12.490196,0.00194,5.461231,4.597664,4.154601,0.051816,Human highest,1.0,0.002448,0.151613
TM9SF4,12.490196,0.00194,5.761062,6.794449,6.340125,0.051816,NHP highest,0.001394,0.05737,0.151613
PRKX,12.490196,0.00194,2.003197,4.320384,3.891927,0.051816,NHP highest,0.001394,0.05737,0.151613
PLCE1,12.490196,0.00194,2.619509,3.783188,4.359339,0.051816,Mouse highest,1.0,0.002448,0.151613
GBX2,12.415094,0.002014,0.197919,0.0,0.008332,0.051816,Human highest,0.014631,0.002674,1.0
GJB4,12.415094,0.002014,0.064376,0.0,0.001236,0.051816,Human highest,0.014631,0.002674,1.0
SYT8,12.415094,0.002014,0.053616,0.0,0.001234,0.051816,Human highest,0.014631,0.002674,1.0
HSD11B2,12.402253,0.002027,1.201537,0.043039,0.005069,0.051816,Human highest,0.299938,0.001375,0.644315
SCNN1B,12.388772,0.002041,0.725511,0.184707,0.027062,0.051816,Human highest,0.788865,0.002028,0.237269
TH,12.389071,0.002041,0.374988,0.06801,0.013401,0.051816,Human highest,0.653965,0.001823,0.295832
ERCC4,12.298851,0.002135,4.900344,4.301254,2.718394,0.051816,Human highest,1.0,0.003208,0.11799
SSH3,12.238562,0.0022,2.73406,3.309541,4.053174,0.051816,Mouse highest,1.0,0.0033,0.119446
PRKAA2,12.238562,0.0022,7.405289,6.809431,6.143815,0.051816,Human highest,1.0,0.0033,0.119446
TMEM102,12.238031,0.002201,0.227566,0.013732,0.002461,0.051816,Human highest,0.089058,0.001472,1.0
LY6D,12.238031,0.002201,0.810936,0.013732,0.001236,0.051816,Human highest,0.089058,0.001472,1.0
KLHDC7A,12.201258,0.002241,0.016613,0.078905,0.0,0.051816,NHP highest,0.244183,0.35804,0.001867
EGFL8,12.146237,0.002304,0.0,1.652233,2.510476,0.051816,Mouse highest,0.951846,0.002565,0.198934
BSCL2,12.146237,0.002304,0.0,5.082459,5.949459,0.051816,Mouse highest,0.951846,0.002565,0.198934
STBD1,12.146237,0.002304,0.0,0.34902,0.66668,0.051816,Mouse highest,0.951846,0.002565,0.198934
CHKB,12.146237,0.002304,0.0,3.876503,4.825552,0.051816,Mouse highest,0.951846,0.002565,0.198934
SERPINA5,12.075168,0.002387,0.074198,0.0,0.007706,0.051816,Human highest,0.011849,0.003959,1.0
KIF12,12.075168,0.002387,2.426939,0.0,0.005105,0.051816,Human highest,0.011849,0.003959,1.0
NTRK1,12.075168,0.002387,1.535007,0.0,0.017663,0.051816,Human highest,0.011849,0.003959,1.0
CLDN6,12.075168,0.002387,0.220801,0.027082,0.008293,0.051816,Human highest,0.068649,0.001703,1.0
VSX1,12.075168,0.002387,0.401178,0.0,0.015989,0.051816,Human highest,0.011849,0.003959,1.0
CRYGC,12.075168,0.002387,0.465425,0.0,0.003882,0.051816,Human highest,0.011849,0.003959,1.0
ITGAX,12.075168,0.002387,0.363676,0.0,0.019779,0.051816,Human highest,0.011849,0.003959,1.0
RBBP8NL,12.075168,0.002387,0.652253,0.0,0.031448,0.051816,Human highest,0.011849,0.003959,1.0
KLK6,12.075168,0.002387,0.323348,0.0,0.013401,0.051816,Human highest,0.011849,0.003959,1.0
PRR29,12.075168,0.002387,0.458199,0.0,0.01075,0.051816,Human highest,0.011849,0.003959,1.0
LALBA,12.075168,0.002387,0.298975,0.0,0.005105,0.051816,Human highest,0.011849,0.003959,1.0
DLX3,12.075168,0.002387,0.478686,0.0,0.003884,0.051816,Human highest,0.011849,0.003959,1.0
DLX4,12.075168,0.002387,0.629812,0.0,0.006305,0.051816,Human highest,0.011849,0.003959,1.0
CCDC154,12.061444,0.002404,2.750727,0.036608,0.014702,0.051816,Human highest,0.244674,0.001582,0.821071
FGF4,12.061444,0.002404,0.124459,0.036608,0.008332,0.051816,Human highest,0.244674,0.001582,0.821071
CCDC102A,12.061444,0.002404,0.268852,0.029689,0.008293,0.051816,Human highest,0.244674,0.001582,0.821071
CXCL13,12.061444,0.002404,2.359374,0.029689,0.005858,0.051816,Human highest,0.244674,0.001582,0.821071
XPO6,12.056486,0.00241,6.350801,5.978476,4.014741,0.051816,Human highest,0.95723,0.002681,0.201967
PDZD9,12.056486,0.00241,3.868795,2.307589,0.738436,0.051816,Human highest,0.95723,0.002681,0.201967
RPGRIP1L,12.056486,0.00241,6.400724,5.588487,3.586115,0.051816,Human highest,0.95723,0.002681,0.201967
N4BP1,12.056486,0.00241,6.277298,6.19844,4.116117,0.051816,Human highest,0.95723,0.002681,0.201967
SLC25A20,12.03268,0.002439,2.357481,2.589467,3.775302,0.051816,Mouse highest,1.0,0.004419,0.093266
CALR3,12.03268,0.002439,0.83921,1.130982,1.824051,0.051816,Mouse highest,1.0,0.004419,0.093266
GFRA1,12.03268,0.002439,2.626917,2.988244,3.586072,0.051816,Mouse highest,1.0,0.004419,0.093266
AGPAT5,12.03268,0.002439,5.85138,5.922496,5.487644,0.051816,NHP highest,1.0,0.03617,0.009285
ELK4,12.03268,0.002439,5.586843,4.715452,4.201773,0.051816,Human highest,1.0,0.004419,0.093266
GJB6,12.013793,0.002462,0.34093,0.767284,0.106049,0.051816,NHP highest,0.989131,0.076957,0.005133
RTKN2,11.997386,0.002482,5.019009,3.019844,3.601891,0.051816,Human highest,0.001921,0.052421,0.203991
RNF20,11.997386,0.002482,4.489316,5.978251,5.52365,0.051816,NHP highest,0.001921,0.052421,0.203991
ECD,11.997386,0.002482,4.908561,5.528369,6.104644,0.051816,Mouse highest,0.960797,0.002761,0.203991
GTF3C4,11.997386,0.002482,3.035871,4.969661,4.219215,0.051816,NHP highest,0.001921,0.052421,0.203991
NTNG1,11.997386,0.002482,8.407448,5.513265,6.580151,0.051816,Human highest,0.001921,0.052421,0.203991
MVB12A,11.997386,0.002482,2.475932,3.883245,4.728701,0.051816,Mouse highest,0.960797,0.002761,0.203991
ANO10,11.997386,0.002482,7.310835,5.298462,6.150597,0.051816,Human highest,0.001921,0.052421,0.203991
CPEB4,11.997386,0.002482,8.301662,7.953347,7.069941,0.051816,Human highest,0.960797,0.002761,0.203991
RAB21,11.997386,0.002482,5.06333,6.495355,5.74471,0.051816,NHP highest,0.001921,0.052421,0.203991
SLC7A1,11.997386,0.002482,5.28768,4.579158,4.04807,0.051816,Human highest,0.960797,0.002761,0.203991
COX7B2,11.997386,0.002482,1.569068,3.059018,2.456479,0.051816,NHP highest,0.001921,0.052421,0.203991
CCDC148,11.997386,0.002482,5.983958,7.019413,6.740639,0.051816,NHP highest,0.001921,0.052421,0.203991
ALDH1L1,11.997386,0.002482,0.555823,2.55248,1.850486,0.051816,NHP highest,0.001921,0.052421,0.203991
ENPP2,11.997386,0.002482,2.710127,8.150306,6.74864,0.051816,NHP highest,0.001921,0.052421,0.203991
PBX4,11.997386,0.002482,4.194129,4.956261,5.646712,0.051816,Mouse highest,0.960797,0.002761,0.203991
FDPS,11.997386,0.002482,5.875526,3.367045,4.231845,0.051816,Human highest,0.001921,0.052421,0.203991
SATB1,11.997386,0.002482,7.361001,5.864165,6.468608,0.051816,Human highest,0.001921,0.052421,0.203991
NPM2,11.997386,0.002482,5.773608,1.136135,1.850446,0.051816,Human highest,0.001921,0.052421,0.203991
PIK3R6,11.997386,0.002482,1.46504,2.118134,3.093495,0.051816,Mouse highest,0.960797,0.002761,0.203991
RUNDC3B,11.997386,0.002482,7.696209,7.041901,6.808249,0.051816,Human highest,0.960797,0.002761,0.203991
DOT1L,11.997386,0.002482,4.143771,5.981036,5.421889,0.051816,NHP highest,0.001921,0.052421,0.203991
CENPM,11.997386,0.002482,1.19024,2.297007,3.036086,0.051816,Mouse highest,0.960797,0.002761,0.203991
DNAJC24,11.997386,0.002482,5.960936,5.019075,5.255964,0.051816,Human highest,0.001921,0.052421,0.203991
DSTYK,11.997386,0.002482,5.811703,6.085001,6.20674,0.051816,Mouse highest,0.960797,0.002761,0.203991
HMGCL,11.997386,0.002482,3.569027,3.902873,4.9142,0.051816,Mouse highest,0.960797,0.002761,0.203991
MYH14,11.997386,0.002482,3.172212,4.412574,5.336975,0.051816,Mouse highest,0.960797,0.002761,0.203991
DENND3,11.997386,0.002482,6.948552,3.146241,4.398415,0.051816,Human highest,0.001921,0.052421,0.203991
ADGRA3,11.997386,0.002482,3.651806,2.513809,2.207258,0.051816,Human highest,0.960797,0.002761,0.203991
SEMA3D,11.997386,0.002482,3.713587,0.754198,1.86813,0.051816,Human highest,0.001921,0.052421,0.203991
NPR3,11.997386,0.002482,0.815584,3.70536,2.70555,0.051816,NHP highest,0.001921,0.052421,0.203991
ATP8B1,11.997386,0.002482,6.223601,0.731801,2.795961,0.051816,Human highest,0.001921,0.052421,0.203991
NDFIP2,11.997386,0.002482,7.437934,6.976035,6.492648,0.051816,Human highest,0.960797,0.002761,0.203991
NDRG3,11.997386,0.002482,6.564812,8.723301,7.830229,0.051816,NHP highest,0.001921,0.052421,0.203991
ARRDC1,11.997386,0.002482,4.839093,2.08154,3.228037,0.051816,Human highest,0.001921,0.052421,0.203991
SAMD15,11.997386,0.002482,2.141465,2.944894,4.055092,0.051816,Mouse highest,0.960797,0.002761,0.203991
RC3H2,11.997386,0.002482,6.007757,7.52386,7.035795,0.051816,NHP highest,0.001921,0.052421,0.203991
FGF10,11.997386,0.002482,2.02719,3.76364,4.41347,0.051816,Mouse highest,0.960797,0.002761,0.203991
PSMG2,11.997386,0.002482,6.30512,4.050462,4.838686,0.051816,Human highest,0.001921,0.052421,0.203991
TRIM59,11.997386,0.002482,0.412783,2.244161,2.61368,0.051816,Mouse highest,0.960797,0.002761,0.203991
MECP2,11.997386,0.002482,6.005247,7.391207,6.845635,0.051816,NHP highest,0.001921,0.052421,0.203991
PPP2R5A,11.997386,0.002482,5.116916,6.431018,5.791276,0.051816,NHP highest,0.001921,0.052421,0.203991
PSMD12,11.997386,0.002482,5.167283,5.68994,5.584317,0.051816,NHP highest,0.001921,0.052421,0.203991
TTC1,11.997386,0.002482,6.763412,5.075525,5.763051,0.051816,Human highest,0.001921,0.052421,0.203991
TRIM62,11.997386,0.002482,2.341062,2.849883,3.32314,0.051816,Mouse highest,0.960797,0.002761,0.203991
LYPD6B,11.997386,0.002482,1.293023,1.766474,3.012729,0.051816,Mouse highest,0.960797,0.002761,0.203991
MAPKAPK2,11.997386,0.002482,2.182029,5.095178,4.386245,0.051816,NHP highest,0.001921,0.052421,0.203991
TMEM86B,11.997386,0.002482,3.311322,2.699061,1.763875,0.051816,Human highest,0.960797,0.002761,0.203991
TRUB2,11.997386,0.002482,3.506954,4.667684,5.08753,0.051816,Mouse highest,0.960797,0.002761,0.203991
TMEM64,11.997386,0.002482,3.852875,5.775745,5.278202,0.051816,NHP highest,0.001921,0.052421,0.203991
PRRC2B,11.997386,0.002482,6.409995,8.281206,7.870837,0.051816,NHP highest,0.001921,0.052421,0.203991
GPC3,11.997386,0.002482,2.842638,3.428355,4.290843,0.051816,Mouse highest,0.960797,0.002761,0.203991
ACADVL,11.997386,0.002482,5.880122,2.316361,3.267593,0.051816,Human highest,0.001921,0.052421,0.203991
HSD17B13,11.997386,0.002482,2.362674,0.130755,0.881911,0.051816,Human highest,0.001921,0.052421,0.203991
TMEM30A,11.997386,0.002482,4.408346,9.055446,7.649121,0.051816,NHP highest,0.001921,0.052421,0.203991
TXK,11.997386,0.002482,5.121377,1.186358,2.355322,0.051816,Human highest,0.001921,0.052421,0.203991
THEMIS,11.997386,0.002482,3.159151,0.69789,1.555655,0.051816,Human highest,0.001921,0.052421,0.203991
TM9SF3,11.997386,0.002482,6.303182,7.65992,6.893284,0.051816,NHP highest,0.001921,0.052421,0.203991
ZMYND10,11.997386,0.002482,0.988805,1.607126,2.114079,0.051816,Mouse highest,0.960797,0.002761,0.203991
VEZF1,11.997386,0.002482,3.262082,4.918011,4.290752,0.051816,NHP highest,0.001921,0.052421,0.203991
TBC1D14,11.997386,0.002482,5.66792,6.478055,6.246904,0.051816,NHP highest,0.001921,0.052421,0.203991
PSMC3IP,11.997386,0.002482,1.222528,2.00792,2.45088,0.051816,Mouse highest,0.960797,0.002761,0.203991
UBAP2L,11.997386,0.002482,5.466154,7.287105,6.719856,0.051816,NHP highest,0.001921,0.052421,0.203991
UMAD1,11.997386,0.002482,6.804049,7.393418,7.077432,0.051816,NHP highest,0.001921,0.052421,0.203991
UGT8,11.997386,0.002482,0.706596,3.292761,2.271729,0.051816,NHP highest,0.001921,0.052421,0.203991
UBE2Q2,11.997386,0.002482,5.317375,6.93209,6.299163,0.051816,NHP highest,0.001921,0.052421,0.203991
TPRA1,11.954902,0.002535,4.160331,3.166641,3.726165,0.051816,Human highest,0.001775,0.07805,0.141277
NAT9,11.954902,0.002535,5.40942,3.331922,4.180275,0.051816,Human highest,0.001775,0.07805,0.141277
ANKRD63,11.954902,0.002535,0.850118,5.953642,4.283668,0.051816,NHP highest,0.001775,0.07805,0.141277
FSTL3,11.954902,0.002535,4.024591,1.84277,2.797288,0.051816,Human highest,0.001775,0.07805,0.141277
KANK1,11.954902,0.002535,3.653276,0.739105,1.756968,0.051816,Human highest,0.001775,0.07805,0.141277
SPSB4,11.954902,0.002535,2.099581,0.32286,0.873591,0.051816,Human highest,0.001775,0.07805,0.141277
S1PR1,11.954902,0.002535,0.059152,1.3281,0.351298,0.051816,NHP highest,0.001775,0.07805,0.141277
PRRC2C,11.954902,0.002535,7.139839,8.307314,7.578568,0.051816,NHP highest,0.001775,0.07805,0.141277
PHF3,11.954902,0.002535,6.47358,7.594699,6.938938,0.051816,NHP highest,0.001775,0.07805,0.141277
NGF,11.954902,0.002535,0.271569,1.589359,0.811557,0.051816,NHP highest,0.001775,0.07805,0.141277
NUDT14,11.954902,0.002535,3.514792,1.946436,2.595303,0.051816,Human highest,0.001775,0.07805,0.141277
AGL,11.954902,0.002535,5.73745,4.599945,5.095993,0.051816,Human highest,0.001775,0.07805,0.141277
PPP1R9A,11.954902,0.002535,8.151851,9.356294,8.908958,0.051816,NHP highest,0.001775,0.07805,0.141277
ALCAM,11.954902,0.002535,6.942002,8.603665,7.984617,0.051816,NHP highest,0.001775,0.07805,0.141277
RBM24,11.954902,0.002535,4.601943,6.811849,5.889637,0.051816,NHP highest,0.001775,0.07805,0.141277
ACSM3,11.95337,0.002537,0.907516,0.100743,0.035218,0.051816,Human highest,0.55736,0.002076,0.390085
SRFBP1,11.872549,0.002642,5.040844,4.433671,3.965412,0.051816,Human highest,1.0,0.005879,0.072172
TMCO1,11.872549,0.002642,4.859328,5.114138,5.779173,0.051816,Mouse highest,1.0,0.005879,0.072172
EBI3,11.872549,0.002642,1.433508,1.606593,2.609228,0.051816,Mouse highest,1.0,0.005879,0.072172
RGL2,11.872549,0.002642,3.489216,3.716784,4.592136,0.051816,Mouse highest,1.0,0.005879,0.072172
TAT,11.8434,0.002681,0.074658,0.112704,0.0,0.051816,NHP highest,1.0,0.007206,0.056828
NDE1,11.828476,0.002701,2.457653,0.361218,0.090974,0.051816,Human highest,0.822092,0.002688,0.258583
PROK1,11.824131,0.002707,0.04898,0.097434,0.471027,0.051816,Mouse highest,1.0,0.006723,0.063037
VPREB3,11.790038,0.002753,0.282486,0.065916,0.009966,0.051816,Human highest,0.909878,0.002919,0.230278
GALR2,11.774713,0.002774,0.436784,0.029689,0.00511,0.051816,Human highest,0.367694,0.001971,0.611878
