human_gene,nhp_gene,syngo_term,mouse_gene
SIPA1L2,SIPA1L2,presynapse,Sipa1l2
GAP43,GAP43,presynapse,Gap43
PDLIM5,PDLIM5,presynapse,Pdlim5
MAGI1,MAGI1,presynapse,Magi1
PPFIBP2,PPFIBP2,presynapse,Ppfibp2
PFN2,PFN2,presynapse,Pfn2
DDN,DDN,presynapse,Ddn
GRB2,GRB2,presynapse,Grb2
PPP1CA,PPP1CA,presynapse,Ppp1ca
PRKACA,PRKACA,presynapse,Prkaca
SDCBP,SDCBP,presynapse,Sdcbp
UNC13B,UNC13B,presynapse,Unc13b
AP3B2,AP3B2,presynapse,Ap3b2
THY1,THY1,presynapse,Thy1
CNTN6,CNTN6,presynapse,Cntn6
CALY,CALY,presynapse,Caly
APBB1,APBB1,presynapse,Apbb1
PRNP,PRNP,presynapse,Prnp
CASK,CASK,presynapse,Cask
SEMA7A,SEMA7A,presynapse,Sema7a
SNX9,SNX9,presynapse,Snx9
TNIK,TNIK,presynapse,Tnik
CADPS2,CADPS2,presynapse,Cadps2
DGKQ,DGKQ,presynapse,Dgkq
PPP1R9A,PPP1R9A,presynapse,Ppp1r9a
SCRN1,SCRN1,presynapse,Scrn1
SH3GL1,SH3GL1,presynapse,Sh3gl1
AAK1,AAK1,presynapse,Aak1
SYNJ1,SYNJ1,presynapse,Synj1
SLC2A4,SLC2A4,presynapse,Slc2a4
TRPC5,TRPC5,presynapse,Trpc5
AP3D1,AP3D1,presynapse,Ap3d1
NPTX2,NPTX2,presynapse,Nptx2
GNA11,GNA11,presynapse,Gna11
BIN1,BIN1,presynapse,Bin1
FLOT1,FLOT1,presynapse,Flot1
SPTBN2,SPTBN2,presynapse,Sptbn2
UBE2M,UBE2M,presynapse,Ube2m
AP1S1,AP1S1,presynapse,Ap1s1
DBNL,DBNL,presynapse,Dbnl
HSPA8,HSPA8,presynapse,Hspa8
CD2AP,CD2AP,presynapse,Cd2ap
KALRN,KALRN,presynapse,Kalrn
ARPC2,ARPC2,presynapse,Arpc2
NECAP1,NECAP1,presynapse,Necap1
KCNJ6,KCNJ6,presynapse,Kcnj6
SLC24A2,SLC24A2,presynapse,Slc24a2
VPS18,VPS18,presynapse,Vps18
SUMO2,SUMO2,presynapse,Sumo2
KIF1B,KIF1B,presynapse,Kif1b
EPS15L1,EPS15L1,presynapse,Eps15l1
AMPH,AMPH,presynapse,Amph
PTK2B,PTK2B,presynapse,Ptk2b
NTRK2,NTRK2,presynapse,Ntrk2
DSTN,DSTN,presynapse,Dstn
ARFGEF2,ARFGEF2,presynapse,Arfgef2
SRPK2,SRPK2,presynapse,Srpk2
YWHAH,YWHAH,presynapse,Ywhah
RTN4R,RTN4R,presynapse,Rtn4r
CASKIN1,CASKIN1,presynapse,Caskin1
CACNB1,CACNB1,presynapse,Cacnb1
CACNB4,CACNB4,presynapse,Cacnb4
DCX,DCX,presynapse,Dcx
S1PR1,S1PR1,presynapse,S1pr1
SNAPIN,SNAPIN,presynapse,Snapin
GIT1,GIT1,presynapse,Git1
RAB8B,RAB8B,presynapse,Rab8b
VPS16,VPS16,presynapse,Vps16
EPHA3,EPHA3,presynapse,Epha3
RAB1A,RAB1A,presynapse,Rab1a
PFN1,PFN1,presynapse,Pfn1
SYNJ2,SYNJ2,presynapse,Synj2
ADD2,ADD2,presynapse,Add2
PPP1CC,PPP1CC,presynapse,Ppp1cc
RTN3,RTN3,presynapse,Rtn3
PTN,PTN,presynapse,Ptn
CPEB2,CPEB2,presynapse,Cpeb2
LRFN2,LRFN2,presynapse,Lrfn2
SGIP1,SGIP1,presynapse,Sgip1
CPLX2,CPLX2,presynapse,Cplx2
NAPA,NAPA,presynapse,Napa
CNRIP1,CNRIP1,presynapse,Cnrip1
RGS4,RGS4,presynapse,Rgs4
GNAL,GNAL,presynapse,Gnal
CD44,CD44,presynapse,Cd44
ITGA2,ITGA2,presynapse,Itga2
CPLX1,CPLX1,presynapse,Cplx1
DISC1,DISC1,presynapse,Disc1
PPFIA4,PPFIA4,presynapse,Ppfia4
S1PR2,S1PR2,presynapse,S1pr2
S1PR4,S1PR4,presynapse,S1pr4
PTPRN2,PTPRN2,presynapse,Ptprn2
DAAM1,DAAM1,presynapse,Daam1
GIPC1,GIPC1,presynapse,Gipc1
STON2,STON2,presynapse,Ston2
ADD1,ADD1,presynapse,Add1
LINGO1,LINGO1,presynapse,Lingo1
S1PR3,S1PR3,presynapse,S1pr3
CAPN1,CAPN1,presynapse,Capn1
NOS1AP,NOS1AP,presynapse,Nos1ap
DPYSL2,DPYSL2,presynapse,Dpysl2
DNM3,DNM3,presynapse,Dnm3
AP1G1,AP1G1,presynapse,Ap1g1
EHD1,EHD1,presynapse,Ehd1
UNC13C,UNC13C,presynapse,Unc13c
APBA2,APBA2,presynapse,Apba2
RAB33B,RAB33B,presynapse,Rab33b
VPS52,VPS52,presynapse,Vps52
SHH,SHH,presynapse,Shh
SHROOM4,SHROOM4,presynapse,Shroom4
PRSS8,PRSS8,presynapse,Prss8
STX3,STX3,presynapse,Stx3
ATG9A,ATG9A,presynapse,Atg9a
PRSS12,PRSS12,presynapse,Prss12
RNF34,RNF34,presynapse,Rnf34
CDK5R2,CDK5R2,presynapse,Cdk5r2
SRCIN1,SRCIN1,presynapse,Srcin1
VAMP1,VAMP1,presynapse,Vamp1
ARF6,ARF6,presynapse,Arf6
BACE1,BACE1,presynapse,Bace1
PRUNE2,PRUNE2,presynapse,Prune2
RMDN3,RMDN3,presynapse,Rmdn3
YWHAG,YWHAG,presynapse,Ywhag
RAPGEF4,RAPGEF4,presynapse,Rapgef4
EPB41L1,EPB41L1,presynapse,Epb41l1
SYT10,SYT10,presynapse,Syt10
RNF138,RNF138,presynapse,Rnf138
KIF2C,KIF2C,presynapse,Kif2c
GAD1,GAD1,presynapse,Gad1
RABAC1,RABAC1,presynapse,Rabac1
TLN2,TLN2,presynapse,Tln2
NECAB2,NECAB2,presynapse,Necab2
DVL1,DVL1,presynapse,Dvl1
NPY5R,NPY5R,presynapse,Npy5r
GNB5,GNB5,presynapse,Gnb5
CRMP1,CRMP1,presynapse,Crmp1
SPHK1,SPHK1,presynapse,Sphk1
SLC29A1,SLC29A1,presynapse,Slc29a1
HIP1,HIP1,presynapse,Hip1
GIT2,GIT2,presynapse,Git2
MGLL,MGLL,presynapse,Mgll
GAD2,GAD2,presynapse,Gad2
GNAI2,GNAI2,presynapse,Gnai2
DOCK1,DOCK1,presynapse,Dock1
CD47,CD47,presynapse,Cd47
VPS35,VPS35,presynapse,Vps35
RGS7,RGS7,presynapse,Rgs7
APPL1,APPL1,presynapse,Appl1
EXOC7,EXOC7,presynapse,Exoc7
OPHN1,OPHN1,presynapse,Ophn1
ROGDI,ROGDI,presynapse,Rogdi
RGS7BP,RGS7BP,presynapse,Rgs7bp
KIF21A,KIF21A,presynapse,Kif21a
STXBP5,STXBP5,presynapse,Stxbp5
RAB6B,RAB6B,presynapse,Rab6b
FBXO45,FBXO45,presynapse,Fbxo45
CDK5R1,CDK5R1,presynapse,Cdk5r1
S1PR5,S1PR5,presynapse,S1pr5
SLC9A6,SLC9A6,presynapse,Slc9a6
FAAH,FAAH,presynapse,Faah
NPY2R,NPY2R,presynapse,Npy2r
GPM6A,GPM6A,presynapse,Gpm6a
RAB6A,RAB6A,presynapse,Rab6a
CALM3,CALM3,presynaptic endocytosis,Calm3
AAK1,AAK1,presynaptic endocytosis,Aak1
CALM1,CALM1,presynaptic endocytosis,Calm1
NECAP1,NECAP1,presynaptic endocytosis,Necap1
ARFGAP3,ARFGAP3,presynaptic endocytosis,Arfgap3
CALM2,CALM2,presynaptic endocytosis,Calm2
ADRA1D,ADRA1D,presynaptic modulation of chemical synaptic transmission,Adra1d
GRM7,GRM7,presynaptic modulation of chemical synaptic transmission,Grm7
APBA2,APBA2,presynaptic modulation of chemical synaptic transmission,Apba2
GIPC1,GIPC1,presynaptic modulation of chemical synaptic transmission,Gipc1
NRXN2,NRXN2,presynaptic modulation of chemical synaptic transmission,Nrxn2
GRIN3A,GRIN3A,presynaptic modulation of chemical synaptic transmission,Grin3a
PFN2,PFN2,presynaptic modulation of chemical synaptic transmission,Pfn2
YWHAH,YWHAH,presynaptic modulation of chemical synaptic transmission,Ywhah
ADORA3,ADORA3,presynaptic modulation of chemical synaptic transmission,Adora3
ADCY1,ADCY1,presynaptic modulation of chemical synaptic transmission,Adcy1
ADORA2A,ADORA2A,presynaptic modulation of chemical synaptic transmission,Adora2a
CHRNA3,CHRNA3,presynaptic modulation of chemical synaptic transmission,Chrna3
HTR7,HTR7,presynaptic modulation of chemical synaptic transmission,Htr7
OPRM1,OPRM1,presynaptic modulation of chemical synaptic transmission,Oprm1
CHRNA6,CHRNA6,presynaptic modulation of chemical synaptic transmission,Chrna6
DRD1,DRD1,presynaptic modulation of chemical synaptic transmission,Drd1
NGFR,NGFR,presynaptic modulation of chemical synaptic transmission,Ngfr
GRM2,GRM2,presynaptic modulation of chemical synaptic transmission,Grm2
CHRNA5,CHRNA5,presynaptic modulation of chemical synaptic transmission,Chrna5
CHRNB2,CHRNB2,presynaptic modulation of chemical synaptic transmission,Chrnb2
DRD2,DRD2,presynaptic modulation of chemical synaptic transmission,Drd2
BACE1,BACE1,presynaptic modulation of chemical synaptic transmission,Bace1
CYTH1,CYTH1,presynaptic modulation of chemical synaptic transmission,Cyth1
ABCC8,ABCC8,presynaptic modulation of chemical synaptic transmission,Abcc8
GRM4,GRM4,presynaptic modulation of chemical synaptic transmission,Grm4
CHRM2,CHRM2,presynaptic modulation of chemical synaptic transmission,Chrm2
HIP1,HIP1,presynaptic modulation of chemical synaptic transmission,Hip1
GRM8,GRM8,presynaptic modulation of chemical synaptic transmission,Grm8
HTR2A,HTR2A,presynaptic modulation of chemical synaptic transmission,Htr2a
APBA1,APBA1,presynaptic modulation of chemical synaptic transmission,Apba1
ADRA2A,ADRA2A,presynaptic modulation of chemical synaptic transmission,Adra2a
NRN1,NRN1,presynaptic modulation of chemical synaptic transmission,Nrn1
CHRNA4,CHRNA4,presynaptic modulation of chemical synaptic transmission,Chrna4
GLRA3,GLRA3,presynaptic modulation of chemical synaptic transmission,Glra3
ADRB2,ADRB2,presynaptic modulation of chemical synaptic transmission,Adrb2
ADORA2B,ADORA2B,presynaptic modulation of chemical synaptic transmission,Adora2b
DRD4,DRD4,presynaptic modulation of chemical synaptic transmission,Drd4
HTR1B,HTR1B,presynaptic modulation of chemical synaptic transmission,Htr1b
MYO6,MYO6,presynaptic modulation of chemical synaptic transmission,Myo6
NRXN3,NRXN3,presynaptic modulation of chemical synaptic transmission,Nrxn3
NR3C2,NR3C2,presynaptic modulation of chemical synaptic transmission,Nr3c2
CHRNB3,CHRNB3,presynaptic modulation of chemical synaptic transmission,Chrnb3
PRKCE,PRKCE,presynaptic modulation of chemical synaptic transmission,Prkce
LAMP5,LAMP5,presynaptic modulation of chemical synaptic transmission,Lamp5
SYT11,SYT11,presynaptic modulation of chemical synaptic transmission,Syt11
HTR1A,HTR1A,presynaptic modulation of chemical synaptic transmission,Htr1a
GSK3B,GSK3B,presynaptic modulation of chemical synaptic transmission,Gsk3b
DGKI,DGKI,presynaptic modulation of chemical synaptic transmission,Dgki
CNR1,CNR1,integral component of presynaptic membrane,Cnr1
HTR1A,HTR1A,integral component of presynaptic membrane,Htr1a
GLRA1,GLRA1,integral component of presynaptic membrane,Glra1
CHRM4,CHRM4,integral component of presynaptic membrane,Chrm4
EFNB2,EFNB2,integral component of presynaptic membrane,Efnb2
CACNA1E,CACNA1E,integral component of presynaptic membrane,Cacna1e
SLC22A2,SLC22A2,integral component of presynaptic membrane,Slc22a2
SCN1A,SCN1A,integral component of presynaptic membrane,Scn1a
ABCC8,ABCC8,integral component of presynaptic membrane,Abcc8
ERBB2,ERBB2,integral component of presynaptic membrane,Erbb2
GABBR2,GABBR2,integral component of presynaptic membrane,Gabbr2
CHRM1,CHRM1,integral component of presynaptic membrane,Chrm1
GRIK1,GRIK1,integral component of presynaptic membrane,Grik1
CACNA1B,CACNA1B,integral component of presynaptic membrane,Cacna1b
PCDH17,PCDH17,integral component of presynaptic membrane,Pcdh17
GRM3,GRM3,integral component of presynaptic membrane,Grm3
GRIK4,GRIK4,integral component of presynaptic membrane,Grik4
CHRNB2,CHRNB2,integral component of presynaptic membrane,Chrnb2
GPER1,GPER1,integral component of presynaptic membrane,Gper1
EPHA4,EPHA4,integral component of presynaptic membrane,Epha4
NGFR,NGFR,integral component of presynaptic membrane,Ngfr
GABRA5,GABRA5,integral component of presynaptic membrane,Gabra5
CDH9,CDH9,integral component of presynaptic membrane,Cdh9
L1CAM,L1CAM,integral component of presynaptic membrane,L1cam
CADM3,CADM3,integral component of presynaptic membrane,Cadm3
ATP1A3,ATP1A3,integral component of presynaptic membrane,Atp1a3
PTPRD,PTPRD,integral component of presynaptic membrane,Ptprd
GRIA3,GRIA3,integral component of presynaptic membrane,Gria3
GRIN2B,GRIN2B,integral component of presynaptic membrane,Grin2b
NPY1R,NPY1R,integral component of presynaptic membrane,Npy1r
GRIA1,GRIA1,integral component of presynaptic membrane,Gria1
KCNQ5,KCNQ5,integral component of presynaptic membrane,Kcnq5
ADORA2A,ADORA2A,integral component of presynaptic membrane,Adora2a
SLC6A9,SLC6A9,integral component of presynaptic membrane,Slc6a9
DRD1,DRD1,integral component of presynaptic membrane,Drd1
SLC6A7,SLC6A7,integral component of presynaptic membrane,Slc6a7
KCNC3,KCNC3,integral component of presynaptic membrane,Kcnc3
SDC2,SDC2,integral component of presynaptic membrane,Sdc2
KCNJ6,KCNJ6,integral component of presynaptic membrane,Kcnj6
GRIK5,GRIK5,integral component of presynaptic membrane,Grik5
SLC6A2,SLC6A2,integral component of presynaptic membrane,Slc6a2
GRM7,GRM7,integral component of presynaptic membrane,Grm7
KCNC2,KCNC2,integral component of presynaptic membrane,Kcnc2
HTR1B,HTR1B,integral component of presynaptic membrane,Htr1b
OPRK1,OPRK1,integral component of presynaptic membrane,Oprk1
SLC4A8,SLC4A8,integral component of presynaptic membrane,Slc4a8
ANO2,ANO2,integral component of presynaptic membrane,Ano2
HTR2A,HTR2A,integral component of presynaptic membrane,Htr2a
GLRA3,GLRA3,integral component of presynaptic membrane,Glra3
SLC6A3,SLC6A3,integral component of presynaptic membrane,Slc6a3
OPRM1,OPRM1,integral component of presynaptic membrane,Oprm1
CACNA1C,CACNA1C,integral component of presynaptic membrane,Cacna1c
NRXN1,NRXN1,integral component of presynaptic membrane,Nrxn1
GRIN2A,GRIN2A,integral component of presynaptic membrane,Grin2a
HTR3A,HTR3A,integral component of presynaptic membrane,Htr3a
GPR151,GPR151,integral component of presynaptic membrane,Gpr151
KCNC4,KCNC4,integral component of presynaptic membrane,Kcnc4
ADRA1D,ADRA1D,integral component of presynaptic membrane,Adra1d
SLC6A4,SLC6A4,integral component of presynaptic membrane,Slc6a4
GRIN1,GRIN1,integral component of presynaptic membrane,Grin1
WLS,WLS,integral component of presynaptic membrane,Wls
HTR7,HTR7,integral component of presynaptic membrane,Htr7
SCN10A,SCN10A,integral component of presynaptic membrane,Scn10a
DRD4,DRD4,integral component of presynaptic membrane,Drd4
DRD5,DRD5,integral component of presynaptic membrane,Drd5
DRD2,DRD2,integral component of presynaptic membrane,Drd2
KCNJ9,KCNJ9,integral component of presynaptic membrane,Kcnj9
CHRNA6,CHRNA6,integral component of presynaptic membrane,Chrna6
ADORA1,ADORA1,integral component of presynaptic membrane,Adora1
P2RX3,P2RX3,integral component of presynaptic membrane,P2rx3
SLC6A1,SLC6A1,integral component of presynaptic membrane,Slc6a1
APH1A,APH1A,integral component of presynaptic membrane,Aph1a
CASR,CASR,integral component of presynaptic membrane,Casr
EPHB2,EPHB2,integral component of presynaptic membrane,Ephb2
VAPB,VAPB,integral component of presynaptic membrane,Vapb
KCNC1,KCNC1,integral component of presynaptic membrane,Kcnc1
FXYD6,FXYD6,integral component of presynaptic membrane,Fxyd6
NCAM1,NCAM1,integral component of presynaptic membrane,Ncam1
PSEN2,PSEN2,integral component of presynaptic membrane,Psen2
KCNA1,KCNA1,integral component of presynaptic membrane,Kcna1
ADAM23,ADAM23,integral component of presynaptic membrane,Adam23
PTPRS,PTPRS,integral component of presynaptic membrane,Ptprs
SCN11A,SCN11A,integral component of presynaptic membrane,Scn11a
PSEN1,PSEN1,integral component of presynaptic membrane,Psen1
PRRT2,PRRT2,integral component of presynaptic membrane,Prrt2
CHRNA4,CHRNA4,integral component of presynaptic membrane,Chrna4
GABBR1,GABBR1,integral component of presynaptic membrane,Gabbr1
CDH2,CDH2,integral component of presynaptic membrane,Cdh2
ATP2B3,ATP2B3,integral component of presynaptic membrane,Atp2b3
SLC6A11,SLC6A11,integral component of presynaptic membrane,Slc6a11
GRIA2,GRIA2,integral component of presynaptic membrane,Gria2
CNTNAP2,CNTNAP2,integral component of presynaptic membrane,Cntnap2
OPRD1,OPRD1,integral component of presynaptic membrane,Oprd1
EFNB1,EFNB1,integral component of presynaptic membrane,Efnb1
KCNA3,KCNA3,integral component of presynaptic membrane,Kcna3
ADGRL1,ADGRL1,integral component of presynaptic membrane,Adgrl1
PSENEN,PSENEN,integral component of presynaptic membrane,Psenen
SLC1A7,SLC1A7,integral component of presynaptic membrane,Slc1a7
FLRT2,FLRT2,integral component of presynaptic membrane,Flrt2
VAPA,VAPA,integral component of presynaptic membrane,Vapa
KCNJ11,KCNJ11,integral component of presynaptic membrane,Kcnj11
GRM2,GRM2,integral component of presynaptic membrane,Grm2
ANO1,ANO1,integral component of presynaptic membrane,Ano1
GRIK3,GRIK3,integral component of presynaptic membrane,Grik3
KCNA4,KCNA4,integral component of presynaptic membrane,Kcna4
ERBB4,ERBB4,integral component of presynaptic membrane,Erbb4
SLC1A6,SLC1A6,integral component of presynaptic membrane,Slc1a6
LPAR1,LPAR1,integral component of presynaptic membrane,Lpar1
SYT7,SYT7,integral component of presynaptic membrane,Syt7
GABRR1,GABRR1,integral component of presynaptic membrane,Gabrr1
ADCY8,ADCY8,integral component of presynaptic membrane,Adcy8
PODXL,PODXL,integral component of presynaptic membrane,Podxl
KCNJ3,KCNJ3,integral component of presynaptic membrane,Kcnj3
CHRM2,CHRM2,integral component of presynaptic membrane,Chrm2
GRIN2D,GRIN2D,integral component of presynaptic membrane,Grin2d
TRPC1,TRPC1,integral component of presynaptic membrane,Trpc1
NCSTN,NCSTN,integral component of presynaptic membrane,Ncstn
CNTNAP4,CNTNAP4,integral component of presynaptic membrane,Cntnap4
STX1A,STX1A,integral component of presynaptic membrane,Stx1a
SLC1A2,SLC1A2,integral component of presynaptic membrane,Slc1a2
IGSF8,IGSF8,integral component of presynaptic membrane,Igsf8
CADM1,CADM1,integral component of presynaptic membrane,Cadm1
CHRM3,CHRM3,integral component of presynaptic membrane,Chrm3
KCNA2,KCNA2,integral component of presynaptic membrane,Kcna2
EFNB3,EFNB3,integral component of presynaptic membrane,Efnb3
KCNH1,KCNH1,integral component of presynaptic membrane,Kcnh1
ABHD17A,ABHD17A,anchored component of postsynaptic recycling endosome membrane,Abhd17a
ABHD17B,ABHD17B,anchored component of postsynaptic recycling endosome membrane,Abhd17b
MDGA2,MDGA2,anchored component of postsynaptic density membrane,Mdga2
DLG4,DLG4,anchored component of postsynaptic density membrane,Dlg4
RGS7BP,RGS7BP,anchored component of postsynaptic density membrane,Rgs7bp
ABHD17A,ABHD17A,anchored component of postsynaptic density membrane,Abhd17a
NTM,NTM,anchored component of postsynaptic density membrane,Ntm
MDGA1,MDGA1,anchored component of postsynaptic density membrane,Mdga1
FOXM1,FOXM1,anchored component of postsynaptic density membrane,Foxm1
LZTS1,LZTS1,anchored component of postsynaptic density membrane,Lzts1
ABHD17B,ABHD17B,anchored component of postsynaptic density membrane,Abhd17b
DLG2,DLG2,anchored component of postsynaptic density membrane,Dlg2
IGSF21,IGSF21,anchored component of postsynaptic density membrane,Igsf21
LRFN2,LRFN2,regulation of postsynapse organization,Lrfn2
ARHGAP22,ARHGAP22,regulation of postsynapse organization,Arhgap22
IL1RAPL1,IL1RAPL1,regulation of postsynapse organization,Il1rapl1
NELL2,NELL2,regulation of postsynapse organization,Nell2
CHMP2B,CHMP2B,regulation of postsynapse organization,Chmp2b
AKT1,AKT1,regulation of postsynapse organization,Akt1
GRID1,GRID1,regulation of postsynapse organization,Grid1
SEMA3F,SEMA3F,regulation of postsynapse organization,Sema3f
NF1,NF1,regulation of postsynapse organization,Nf1
ABHD17C,ABHD17C,regulation of postsynapse organization,Abhd17c
BAIAP2,BAIAP2,regulation of postsynapse organization,Baiap2
ITSN1,ITSN1,regulation of postsynapse organization,Itsn1
DACT1,DACT1,regulation of postsynapse organization,Dact1
CDC42,CDC42,regulation of postsynapse organization,Cdc42
WNT7A,WNT7A,regulation of postsynapse organization,Wnt7a
CDKL5,CDKL5,regulation of postsynapse organization,Cdkl5
MARK2,MARK2,regulation of postsynapse organization,Mark2
RBMX,RBMX,regulation of postsynapse organization,Rbmx
EPHA7,EPHA7,regulation of postsynapse organization,Epha7
NCAN,NCAN,regulation of postsynapse organization,Ncan
DVL1,DVL1,regulation of postsynapse organization,Dvl1
TSC2,TSC2,regulation of postsynapse organization,Tsc2
VHL,VHL,regulation of postsynapse organization,Vhl
ABHD17A,ABHD17A,regulation of postsynapse organization,Abhd17a
PAK3,PAK3,regulation of postsynapse organization,Pak3
MINK1,MINK1,regulation of postsynapse organization,Mink1
ASAP1,ASAP1,regulation of postsynapse organization,Asap1
PTPRF,PTPRF,regulation of postsynapse organization,Ptprf
PAFAH1B1,PAFAH1B1,regulation of postsynapse organization,Pafah1b1
DISC1,DISC1,regulation of postsynapse organization,Disc1
ADAM10,ADAM10,regulation of postsynapse organization,Adam10
ABHD17B,ABHD17B,regulation of postsynapse organization,Abhd17b
ROR2,ROR2,regulation of postsynapse organization,Ror2
GHSR,GHSR,regulation of postsynapse organization,Ghsr
SHANK2,SHANK2,regulation of postsynapse organization,Shank2
RAPGEF4,RAPGEF4,regulation of postsynapse organization,Rapgef4
WASL,WASL,regulation of postsynapse organization,Wasl
DGKB,DGKB,regulation of postsynapse organization,Dgkb
HNRNPM,HNRNPM,regulation of postsynapse organization,Hnrnpm
HSPA8,HSPA8,regulation of postsynapse organization,Hspa8
PSEN1,PSEN1,regulation of postsynapse organization,Psen1
TAOK2,TAOK2,regulation of postsynapse organization,Taok2
PSEN2,PSEN2,regulation of postsynapse organization,Psen2
HNRNPK,HNRNPK,regulation of postsynapse organization,Hnrnpk
GHRL,GHRL,regulation of postsynapse organization,Ghrl
SHANK3,SHANK3,regulation of postsynapse organization,Shank3
RPS6KA5,RPS6KA5,regulation of postsynapse organization,Rps6ka5
WNT5A,WNT5A,regulation of postsynapse organization,Wnt5a
TIAM1,TIAM1,regulation of postsynapse organization,Tiam1
TANC1,TANC1,regulation of postsynapse organization,Tanc1
ARF4,ARF4,regulation of postsynapse organization,Arf4
NRCAM,NRCAM,regulation of postsynapse organization,Nrcam
SLC6A17,SLC6A17,metabolism,Slc6a17
SLC6A7,SLC6A7,metabolism,Slc6a7
ABHD17B,ABHD17B,metabolism,Abhd17b
CADM2,CADM2,integral component of postsynaptic membrane,Cadm2
ADORA1,ADORA1,integral component of postsynaptic membrane,Adora1
SLC6A4,SLC6A4,integral component of postsynaptic membrane,Slc6a4
ITGB1,ITGB1,integral component of postsynaptic membrane,Itgb1
LRRTM1,LRRTM1,integral component of postsynaptic membrane,Lrrtm1
ADORA2A,ADORA2A,integral component of postsynaptic membrane,Adora2a
ADGRB1,ADGRB1,integral component of postsynaptic membrane,Adgrb1
KCNQ3,KCNQ3,integral component of postsynaptic membrane,Kcnq3
KCNN2,KCNN2,integral component of postsynaptic membrane,Kcnn2
GRIA3,GRIA3,integral component of postsynaptic membrane,Gria3
ADRA2C,ADRA2C,integral component of postsynaptic membrane,Adra2c
OPRM1,OPRM1,integral component of postsynaptic membrane,Oprm1
CHRNA6,CHRNA6,integral component of postsynaptic membrane,Chrna6
NELL1,NELL1,integral component of postsynaptic membrane,Nell1
TACR1,TACR1,integral component of postsynaptic membrane,Tacr1
TRPV1,TRPV1,integral component of postsynaptic membrane,Trpv1
CACNA1D,CACNA1D,integral component of postsynaptic membrane,Cacna1d
SLC8A1,SLC8A1,integral component of postsynaptic membrane,Slc8a1
CLCN3,CLCN3,integral component of postsynaptic membrane,Clcn3
SLC1A1,SLC1A1,integral component of postsynaptic membrane,Slc1a1
HTR3A,HTR3A,integral component of postsynaptic membrane,Htr3a
FLRT3,FLRT3,integral component of postsynaptic membrane,Flrt3
GRIA1,GRIA1,integral component of postsynaptic membrane,Gria1
GABRA5,GABRA5,integral component of postsynaptic membrane,Gabra5
GRM5,GRM5,integral component of postsynaptic membrane,Grm5
LPAR1,LPAR1,integral component of postsynaptic membrane,Lpar1
TRPC1,TRPC1,integral component of postsynaptic membrane,Trpc1
GABRE,GABRE,integral component of postsynaptic membrane,Gabre
FXYD6,FXYD6,integral component of postsynaptic membrane,Fxyd6
CNR2,CNR2,integral component of postsynaptic membrane,Cnr2
OPRK1,OPRK1,integral component of postsynaptic membrane,Oprk1
KCNC4,KCNC4,integral component of postsynaptic membrane,Kcnc4
GABBR1,GABBR1,integral component of postsynaptic membrane,Gabbr1
KCNC1,KCNC1,integral component of postsynaptic membrane,Kcnc1
CHRM1,CHRM1,integral component of postsynaptic membrane,Chrm1
SLC6A6,SLC6A6,integral component of postsynaptic membrane,Slc6a6
NRCAM,NRCAM,integral component of postsynaptic membrane,Nrcam
KCNQ5,KCNQ5,integral component of postsynaptic membrane,Kcnq5
P2RX1,P2RX1,integral component of postsynaptic membrane,P2rx1
GABRR3,GABRR3,integral component of postsynaptic membrane,Gabrr3
SUSD4,SUSD4,integral component of postsynaptic membrane,Susd4
GRM3,GRM3,integral component of postsynaptic membrane,Grm3
ADGRL2,ADGRL2,integral component of postsynaptic membrane,Adgrl2
KCNJ2,KCNJ2,integral component of postsynaptic membrane,Kcnj2
CHRM2,CHRM2,integral component of postsynaptic membrane,Chrm2
CACNA1A,CACNA1A,integral component of postsynaptic membrane,Cacna1a
GRM2,GRM2,integral component of postsynaptic membrane,Grm2
NCAM1,NCAM1,integral component of postsynaptic membrane,Ncam1
CANX,CANX,integral component of postsynaptic membrane,Canx
SLC1A7,SLC1A7,integral component of postsynaptic membrane,Slc1a7
KCNC3,KCNC3,integral component of postsynaptic membrane,Kcnc3
HTR2A,HTR2A,integral component of postsynaptic membrane,Htr2a
SLITRK3,SLITRK3,integral component of postsynaptic membrane,Slitrk3
STX4,STX4,integral component of postsynaptic membrane,Stx4a
PRRT1,PRRT1,integral component of postsynaptic membrane,Prrt1
KCNA4,KCNA4,integral component of postsynaptic membrane,Kcna4
CACNA1C,CACNA1C,integral component of postsynaptic membrane,Cacna1c
SLC6A9,SLC6A9,integral component of postsynaptic membrane,Slc6a9
CACNA1H,CACNA1H,integral component of postsynaptic membrane,Cacna1h
EPHA4,EPHA4,integral component of postsynaptic membrane,Epha4
KCNJ4,KCNJ4,integral component of postsynaptic membrane,Kcnj4
GABBR2,GABBR2,integral component of postsynaptic membrane,Gabbr2
ADRA2A,ADRA2A,integral component of postsynaptic membrane,Adra2a
SLC8A2,SLC8A2,integral component of postsynaptic membrane,Slc8a2
HTR7,HTR7,integral component of postsynaptic membrane,Htr7
ITGA3,ITGA3,integral component of postsynaptic membrane,Itga3
PCDH17,PCDH17,integral component of postsynaptic membrane,Pcdh17
CSPG5,CSPG5,integral component of postsynaptic membrane,Cspg5
CACNA1E,CACNA1E,integral component of postsynaptic membrane,Cacna1e
GABRD,GABRD,integral component of postsynaptic membrane,Gabrd
NTRK3,NTRK3,integral component of postsynaptic membrane,Ntrk3
